"total_loss","diff_loss","bond_length_loss","angle_loss","plane_loss","rigid_bond_loss","rbragg","wr","rotation_idx","num_bragg_spots","num_bragg_spots_obs"
"0.11086063832044601","0.11086063832044601","0","0","0","0","0.13046284019947052","0.11077415198087692","50","275","76"
"0.06612414121627808","0.06612414121627808","0","0","0","0","0.13577744364738464","0.06599240750074387","26","282","92"
"0.06352414935827255","0.06352414935827255","0","0","0","0","0.075167216360569","0.06342001259326935","33","280","89"
"0.06550270318984985","0.06550270318984985","0","0","0","0","0.08796504884958267","0.06560826301574707","29","277","100"
"0.17285309731960297","0.17285309731960297","0","0","0","0","0.10613170266151428","0.17282043397426605","35","292","92"
"0.07931262999773026","0.07931262999773026","0","0","0","0","0.09654999524354935","0.07934901863336563","27","291","105"
"0.1301647275686264","0.1301647275686264","0","0","0","0","0.09384126216173172","0.13021323084831238","2","271","94"
"0.07743322104215622","0.07743322104215622","0","0","0","0","0.07777141779661179","0.07751459628343582","12","279","94"
"0.07300719618797302","0.07300719618797302","0","0","0","0","0.09144140034914017","0.07312191277742386","8","276","117"
"0.04559712111949921","0.04559712111949921","0","0","0","0","0.055126022547483444","0.04549168050289154","44","275","75"
"0.09422890096902847","0.09422890096902847","0","0","0","0","0.14394888281822205","0.09425122290849686","13","286","120"
"0.07563252747058868","0.07563252747058868","0","0","0","0","0.12559637427330017","0.07551763206720352","3","273","99"
"0.0612601675093174","0.0612601675093174","0","0","0","0","0.08698815107345581","0.061345264315605164","41","282","76"
"0.04744332283735275","0.04744332283735275","0","0","0","0","0.07498715072870255","0.047456927597522736","30","278","87"
"0.07692467421293259","0.07692467421293259","0","0","0","0","0.09397891908884048","0.07683669030666351","14","284","109"
"0.11661037057638168","0.11661037057638168","0","0","0","0","0.12479276955127716","0.11652373522520065","0","311","97"
"0.12918134033679962","0.12918134033679962","0","0","0","0","0.10161793231964111","0.12924447655677795","39","276","87"
"0.10537686198949814","0.10537686198949814","0","0","0","0","0.12421592324972153","0.10535885393619537","6","298","111"
"0.05746791511774063","0.05746791511774063","0","0","0","0","0.08914120495319366","0.05749893933534622","45","264","59"
"0.11298488080501556","0.11298488080501556","0","0","0","0","0.15949763357639313","0.1129676029086113","1","264","80"
"0.04711464047431946","0.04711464047431946","0","0","0","0","0.05754539370536804","0.04707465320825577","38","288","86"
"0.053037576377391815","0.053037576377391815","0","0","0","0","0.07561281323432922","0.05294792726635933","37","287","77"
"0.07120280712842941","0.07120280712842941","0","0","0","0","0.08629462867975235","0.07106730341911316","7","278","99"
"0.09566101431846619","0.09566101431846619","0","0","0","0","0.08647291362285614","0.09566630423069","24","286","113"
"0.06861265748739243","0.06861265748739243","0","0","0","0","0.08382158726453781","0.06850024312734604","51","296","89"
"0.085463747382164","0.085463747382164","0","0","0","0","0.08934368193149567","0.08548302948474884","9","277","98"
"0.06264837831258774","0.06264837831258774","0","0","0","0","0.07908566296100616","0.06270935386419296","40","285","77"
"0.05320102348923683","0.05320102348923683","0","0","0","0","0.07016938924789429","0.05317205935716629","47","279","55"
"0.10666004568338394","0.10666004568338394","0","0","0","0","0.08487694710493088","0.10657016187906265","28","282","98"
"0.03714585676789284","0.03714585676789284","0","0","0","0","0.07044777274131775","0.03722553700208664","32","284","90"
"0.08300429582595825","0.08300429582595825","0","0","0","0","0.09449288249015808","0.0829985961318016","49","284","77"
"0.10109277814626694","0.10109277814626694","0","0","0","0","0.10811807215213776","0.10099329054355621","11","281","122"
"0.18052634596824646","0.18052634596824646","0","0","0","0","0.11395957320928574","0.18051856756210327","36","274","78"
"0.0725521445274353","0.0725521445274353","0","0","0","0","0.09029139578342438","0.07257182896137238","17","286","85"
"0.05956006422638893","0.05956006422638893","0","0","0","0","0.06887605041265488","0.05942060425877571","42","276","73"
"0.12989410758018494","0.12989410758018494","0","0","0","0","0.11516635864973068","0.1298685073852539","48","279","76"
"0.0899537056684494","0.0899537056684494","0","0","0","0","0.08610471338033676","0.09001285582780838","4","282","113"
"0.14429444074630737","0.14429444074630737","0","0","0","0","0.11624947935342789","0.14424411952495575","5","282","100"
"0.16272330284118652","0.16272330284118652","0","0","0","0","0.10356653481721878","0.1626863032579422","19","262","100"
"0.05285429581999779","0.05285429581999779","0","0","0","0","0.07117097824811935","0.052932560443878174","46","302","70"
"0.06338640302419662","0.06338640302419662","0","0","0","0","0.08518441766500473","0.06336057186126709","15","263","98"
"0.06259845942258835","0.06259845942258835","0","0","0","0","0.07672589272260666","0.06261371821165085","23","285","92"
"0.05128556489944458","0.05128556489944458","0","0","0","0","0.07932315021753311","0.051144231110811234","10","282","100"
"0.06506375968456268","0.06506375968456268","0","0","0","0","0.08715102076530457","0.06514415144920349","22","271","93"
"0.06868629902601242","0.06868629902601242","0","0","0","0","0.09309733659029007","0.06876417994499207","34","274","95"
"0.07822068780660629","0.07822068780660629","0","0","0","0","0.08572468906641006","0.07824701070785522","25","272","107"
"0.05770500376820564","0.05770500376820564","0","0","0","0","0.08383816480636597","0.057851746678352356","21","282","120"
"0.12324343621730804","0.12324343621730804","0","0","0","0","0.12725581228733063","0.12319530546665192","16","287","115"
"0.09785468876361847","0.09785468876361847","0","0","0","0","0.08297418057918549","0.09785173833370209","20","290","108"
"0.07184277474880219","0.07184277474880219","0","0","0","0","0.14128710329532623","0.07180295139551163","31","290","99"
"0.13913093507289886","0.13913093507289886","0","0","0","0","0.1277817189693451","0.13916292786598206","18","298","102"
"0.05298217386007309","0.05298217386007309","0","0","0","0","0.06537248194217682","0.05296403542160988","43","281","72"
