"Step","Theta","Pred Thickness"
"2620","-29.891","1688.541308661112"
"2620","-29.43021105527638","1688.9918862749055"
"2620","-28.969422110552763","1689.4407329669225"
"2620","-28.508633165829146","1689.8880297879928"
"2620","-28.047844221105525","1690.333964909346"
"2620","-27.587055276381907","1690.7787336893982"
"2620","-27.12626633165829","1691.222538735282"
"2620","-26.665477386934672","1691.6655899588607"
"2620","-26.204688442211054","1692.1081046269942"
"2620","-25.743899497487437","1692.5503074058051"
"2620","-25.283110552763816","1692.9924303987102"
"2620","-24.8223216080402","1693.4347131779812"
"2620","-24.36153266331658","1693.8774028096018"
"2620","-23.900743718592963","1694.3207538711997"
"2620","-23.439954773869346","1694.7650284628292"
"2620","-22.979165829145728","1695.2104962103942"
"2620","-22.51837688442211","1695.6574342615077"
"2620","-22.05758793969849","1696.1061272735838"
"2620","-21.596798994974872","1696.5568673939829"
"2620","-21.136010050251254","1697.0099542320208"
"2620","-20.675221105527637","1697.4656948226798"
"2620","-20.21443216080402","1697.9244035818606"
"2620","-19.753643216080402","1698.3864022530245"
"2620","-19.29285427135678","1698.8520198450979"
"2620","-18.832065326633163","1699.3215925615073"
"2620","-18.371276381909546","1699.7954637202422"
"2620","-17.910487437185928","1700.2739836648452"
"2620","-17.44969849246231","1700.7575096662463"
"2620","-16.988909547738693","1701.2464058153757"
"2620","-16.528120603015072","1701.7410429065008"
"2620","-16.067331658291454","1702.2417983112452"
"2620","-15.606542713567837","1702.7490558432705"
"2620","-15.14575376884422","1703.2632056136108"
"2620","-14.684964824120602","1703.7846438766665"
"2620","-14.224175879396983","1704.3137728668821"
"2620","-13.763386934673365","1704.8510006261454"
"2620","-13.302597989949748","1705.396740821965"
"2620","-12.841809045226128","1705.951412556491"
"2620","-12.38102010050251","1706.5154401664709"
"2620","-11.920231155778893","1707.0892530142378"
"2620","-11.459442211055276","1707.6732852698453"
"2620","-10.998653266331656","1708.2679756844864"
"2620","-10.537864321608039","1708.873767355331"
"2620","-10.077075376884421","1709.491107481953"
"2620","-9.616286432160802","1710.1204471145106"
"2620","-9.155497487437184","1710.7622408938696"
"2620","-8.694708542713567","1711.4169467838674"
"2620","-8.233919597989948","1712.0850257959282"
"2620","-7.77313065326633","1712.7669417062516"
"2620","-7.312341708542712","1713.4631607658066"
"2620","-6.851552763819094","1714.174151403374"
"2620","-6.390763819095476","1714.9003839218904"
"2620","-5.929974874371858","1715.6423301883538"
"2620","-5.46918592964824","1716.4004633175614"
"2620","-5.008396984924621","1717.1752573499562"
"2620","-4.547608040201004","1717.9671869238646"
"2620","-4.086819095477385","1718.7767269424176"
"2620","-3.6260301507537673","1719.604352235448"
"2620","-3.1652412060301494","1720.450537216665"
"2620","-2.704452261306531","1721.3157555364098"
"2620","-2.243663316582913","1722.2004797303"
"2620","-1.782874371859295","1723.1051808640727"
"2620","-1.3220854271356768","1724.03032817494"
"2620","-0.8612964824120587","1724.9763887097693"
"2620","-0.4005075376884406","1725.943826960407"
"2620","0.06028140703517748","1726.9331044964606"
"2620","0.5210703517587956","1727.9446795958556"
"2620","0.9818592964824137","1728.9790068734856"
"2620","1.4426482412060317","1730.0365369082724"
"2620","1.9034371859296497","1731.117715868952"
"2620","2.364226130653268","1732.2229851388993"
"2620","2.825015075376886","1733.3527809403124"
"2620","3.285804020100504","1734.5075339580617"
"2620","3.746592964824122","1735.6876689635221"
"2620","4.20738190954774","1736.8936044386976"
"2620","4.6681708542713585","1738.1257522009437"
"2620","5.128959798994977","1739.3845170286036"
"2620","5.589748743718594","1740.6702962878553"
"2620","6.050537688442213","1741.983479561089"
"2620","6.51132663316583","1743.3244482771047"
"2620","6.972115577889449","1744.6935753434461"
"2620","7.432904522613067","1746.091224781172"
"2620","7.893693467336685","1747.5177513623653"
"2620","8.354482412060303","1748.9735002506889"
"2620","8.81527135678392","1750.4588066452898"
"2620","9.27606030150754","1751.9739954283568"
"2620","9.736849246231158","1753.519380816641"
"2620","10.197638190954775","1755.0952660172393"
"2620","10.658427135678394","1756.7019428879626"
"2620","11.119216080402012","1758.3396916025838"
"2620","11.58000502512563","1760.008780321295"
"2620","12.040793969849247","1761.7094648666794"
"2620","12.501582914572866","1763.441988405521"
"2620","12.962371859296484","1765.2065811367765"
"2620","13.423160804020101","1767.0034599860319"
"2620","13.88394974874372","1768.832828306773"
"2620","14.344738693467338","1770.6948755888113"
"2620","14.805527638190956","1772.5897771741902"
"2620","15.266316582914575","1774.5176939809262"
"2620","15.727105527638193","1776.4787722349195"
"2620","16.18789447236181","1778.4731432103968"
"2620","16.648683417085426","1780.5009229792254"
"2620","17.109472361809043","1782.5622121694735"
"2620","17.57026130653266","1784.6570957335634"
"2620","18.03105025125628","1786.785642726396"
"2620","18.491839195979896","1788.9479060938065"
"2620","18.952628140703514","1791.1439224717278"
"2620","19.413417085427135","1793.3737119964364"
"2620","19.874206030150752","1795.6372781262503"
"2620","20.33499497487437","1797.934607475066"
"2620","20.795783919597987","1800.2656696581032"
"2620","21.256572864321605","1802.6304171502409"
"2620","21.717361809045222","1805.0287851573164"
"2620","22.178150753768843","1807.460691500763"
"2620","22.63893969849246","1809.9260365159607"
"2620","23.09972864321608","1812.424702964658"
"2620","23.560517587939696","1814.9565559618359"
"2620","24.021306532663314","1817.5214429173602"
"2620","24.48209547738693","1820.1191934927738"
"2620","24.942884422110552","1822.7496195735623"
"2620","25.40367336683417","1825.4125152572226"
"2620","25.864462311557787","1828.1076568574445"
"2620","26.325251256281405","1830.8348029247072"
"2620","26.786040201005022","1833.5936942835751"
"2620","27.24682914572864","1836.3840540869596"
"2620","27.707618090452257","1839.2055878875933"
"2620","28.16840703517588","1842.0579837269497"
"2620","28.629195979899496","1844.9409122418087"
"2620","29.089984924623113","1847.8540267886542"
"2620","29.55077386934673","1850.7969635860554"
"2620","30.01156281407035","1853.7693418751687"
"2620","30.472351758793966","1856.7707640984554"
"2620","30.933140703517587","1859.800816096687"
"2620","31.393929648241205","1862.8590673242766"
"2620","31.854718592964822","1865.9450710829474"
"2620","32.31550753768844","1869.058364773699"
"2620","32.77629648241206","1872.1984701670185"
"2620","33.237085427135675","1875.3648936912264"
"2620","33.69787437185929","1878.5571267388186"
"2620","34.15866331658291","1881.774645990633"
"2620","34.61945226130653","1885.0169137576086"
"2620","35.080241206030145","1888.2833783398937"
"2620","35.54103015075377","1891.573474402988"
"2620","36.00181909547739","1894.8866233705885"
"2620","36.462608040201005","1898.2222338337494"
"2620","36.92339698492462","1901.5797019759316"
"2620","37.38418592964824","1904.9584120134807"
"2620","37.84497487437186","1908.3577366510167"
"2620","38.305763819095475","1911.777037551196"
"2620","38.76655276381909","1915.215665818253"
"2620","39.22734170854271","1918.6729624946938"
"2620","39.68813065326633","1922.1482590704793"
"2620","40.148919597989945","1925.6408780039924"
"2620","40.60970854271356","1929.1501332540568"
"2620","41.07049748743718","1932.675330822232"
"2620","41.531286432160805","1936.215769304586"
"2620","41.99207537688442","1939.770740452109"
"2620","42.45286432160804","1943.339529738916"
"2620","42.91365326633166","1946.9214169373436"
"2620","43.374442211055275","1950.5156766990394"
"2620","43.83523115577889","1954.1215791411173"
"2620","44.29602010050251","1957.7383904364258"
"2620","44.75680904522613","1961.3653734069771"
"2620","45.217597989949745","1965.001788119559"
"2620","45.67838693467336","1968.6468924825508"
"2620","46.13917587939698","1972.299942842957"
"2620","46.5999648241206","1975.960194582669"
"2620","47.06075376884422","1979.626902712961"
"2620","47.52154271356784","1983.2993224662468"
"2620","47.98233165829146","1986.976709884102"
"2620","48.443120603015075","1990.6583224005958"
"2620","48.90390954773869","1994.3434194199708"
"2620","49.36469849246231","1998.03126288773"
"2620","49.82548743718593","2001.7211178542134"
"2620","50.286276381909545","2005.4122530297582"
"2620","50.74706532663316","2009.1039413305734"
"2620","51.20785427135678","2012.7954604144793"
"2620","51.6686432160804","2016.4860932056895"
"2620","52.129432160804015","2020.1751284078541"
"2620","52.59022110552763","2023.8618610046115"
"2620","53.05101005025126","2027.5455927469293"
"2620","53.511798994974875","2031.2256326265606"
"2620","53.97258793969849","2034.9012973349793"
"2620","54.43337688442211","2038.5719117071942"
"2620","54.89416582914573","2042.2368091498945"
"2620","55.354954773869345","2045.8953320534133"
"2620","55.81574371859296","2049.5468321870503"
"2620","56.27653266331658","2053.190671077332"
"2620","56.7373216080402","2056.8262203688428"
"2620","57.198110552763815","2060.452862167295"
"2620","57.65889949748743","2064.0699893645706"
"2620","58.11968844221105","2067.6770059454957"
"2620","58.58047738693467","2071.2733272761684"
