"Step","Theta","Pred Thickness"
"3267","-49.197","841.6390675148558"
"3267","-48.703150753768846","842.0639409071983"
"3267","-48.20930150753769","842.4830610779056"
"3267","-47.71545226130654","842.8963863878644"
"3267","-47.22160301507538","843.3038773361163"
"3267","-46.727753768844224","843.7054966098184"
"3267","-46.23390452261307","844.1012091328859"
"3267","-45.74005527638191","844.4909821132038"
"3267","-45.24620603015076","844.8747850882871"
"3267","-44.7523567839196","845.2525899692681"
"3267","-44.258507537688445","845.624371083097"
"3267","-43.76465829145729","845.9901052128275"
"3267","-43.27080904522613","846.3497716358743"
"3267","-42.77695979899498","846.7033521601174"
"3267","-42.28311055276382","847.0508311577395"
"3267","-41.789261306532666","847.3921955966704"
"3267","-41.29541206030151","847.7274350695344"
"3267","-40.80156281407035","848.0565418199722"
"3267","-40.3077135678392","848.3795107662359"
"3267","-39.813864321608044","848.6963395219421"
"3267","-39.32001507537689","849.0070284138774"
"3267","-38.82616582914573","849.311580496753"
"3267","-38.33231658291457","849.6100015648107"
"3267","-37.838467336683415","849.90230016018"
"3267","-37.344618090452265","850.1884875779028"
"3267","-36.85076884422111","850.4685778675318"
"3267","-36.35691959798995","850.7425878312284"
"3267","-35.86307035175879","851.0105370182806"
"3267","-35.369221105527636","851.2724477159738"
"3267","-34.875371859296486","851.5283449367528"
"3267","-34.38152261306533","851.7782564016143"
"3267","-33.88767336683417","852.0222125196855"
"3267","-33.393824120603014","852.2602463639449"
"3267","-32.89997487437186","852.4923936430488"
"3267","-32.40612562814071","852.718692669239"
"3267","-31.91227638190955","852.9391843223115"
"3267","-31.418427135678392","853.1539120096359"
"3267","-30.924577889447235","853.3629216222228"
"3267","-30.43072864321608","853.566261486844"
"3267","-29.936879396984924","853.763982314223"
"3267","-29.44303015075377","853.9561371433165"
"3267","-28.949180904522613","854.142781281719"
"3267","-28.455331658291456","854.3239722422355"
"3267","-27.961482412060302","854.4997696756681"
"3267","-27.467633165829145","854.6702352998757"
"3267","-26.97378391959799","854.83543282518"
"3267","-26.479934673366834","854.9954278761878"
"3267","-25.986085427135677","855.1502879101198"
"3267","-25.492236180904523","855.3000821317393"
"3267","-24.998386934673366","855.444881404983"
"3267","-24.504537688442213","855.5847581614071"
"3267","-24.010688442211055","855.7197863055661"
"3267","-23.516839195979898","855.8500411174546"
"3267","-23.022989949748744","855.9755991521464"
"3267","-22.529140703517587","856.0965381367732"
"3267","-22.03529145728643","856.2129368649967"
"3267","-21.541442211055276","856.3248750891271"
"3267","-21.04759296482412","856.4324334100565"
"3267","-20.553743718592965","856.5356931651751"
"3267","-20.05989447236181","856.6347363144469"
"3267","-19.56604522613065","856.7296453248276"
"3267","-19.072195979899497","856.8205030532124"
"3267","-18.57834673366834","856.9073926281034"
"3267","-18.084497487437186","856.9903973301962"
"3267","-17.59064824120603","857.0696004720812"
"3267","-17.096798994974872","857.1450852772683"
"3267","-16.60294974874372","857.216934758737"
"3267","-16.10910050251256","857.2852315972224"
"3267","-15.615251256281406","857.3500580194477"
"3267","-15.12140201005025","857.4114956765155"
"3267","-14.627552763819095","857.4696255226683"
"3267","-14.133703517587938","857.5245276946353"
"3267","-13.639854271356782","857.576281391775"
"3267","-13.146005025125627","857.6249647572273"
"3267","-12.652155778894471","857.6706547602868"
"3267","-12.158306532663316","857.7134270802037"
"3267","-11.664457286432159","857.7533559916233"
"3267","-11.170608040201003","857.7905142518642"
"3267","-10.676758793969848","857.824972990238"
"3267","-10.182909547738692","857.856801599608"
"3267","-9.689060301507535","857.8860676303769"
"3267","-9.19521105527638","857.9128366870939"
"3267","-8.701361809045224","857.9371723278617"
"3267","-8.207512562814069","857.9591359667219"
"3267","-7.713663316582912","857.9787867791862"
"3267","-7.219814070351757","857.9961816110824"
"3267","-6.7259648241206005","858.011374890867"
"3267","-6.232115577889445","858.024418545556"
"3267","-5.73826633165829","858.0353619204174"
"3267","-5.244417085427133","858.0442517025576"
"3267","-4.750567839195978","858.0511318485261"
"3267","-4.2567185929648215","858.0560435160581"
"3267","-3.762869346733666","858.0590250000623"
