tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.0,0.0,-3,-5,8,1076.271240234375
1,-0.9512195121951219,0.0,-3,-5,8,1076.271240234375
2,-0.9024390243902439,0.0,-3,-5,8,1076.271240234375
3,-0.8536585365853658,0.0,-3,-5,8,1076.271240234375
4,-0.8048780487804879,0.0,-3,-5,8,1076.271240234375
5,-0.7560975609756098,0.0,-3,-5,8,1076.271240234375
6,-0.7073170731707317,0.0,-3,-5,8,1076.271240234375
7,-0.6585365853658536,0.0,-3,-5,8,1076.271240234375
8,-0.6097560975609756,0.0,-3,-5,8,1076.271240234375
9,-0.5609756097560976,0.0,-3,-5,8,1076.271240234375
10,-0.5121951219512195,4.801913746632636e-07,-3,-5,8,1076.271240234375
11,-0.46341463414634143,5.036057615370737e-08,-3,-5,8,1076.271240234375
12,-0.41463414634146334,1.346956395309462e-07,-3,-5,8,1076.271240234375
13,-0.36585365853658536,1.186951180898177e-06,-3,-5,8,1076.271240234375
14,-0.31707317073170727,9.973271062335698e-07,-3,-5,8,1076.271240234375
15,-0.2682926829268293,1.8646584294401691e-06,-3,-5,8,1076.271240234375
16,-0.2195121951219512,3.615634568632231e-06,-3,-5,8,1076.271240234375
17,-0.1707317073170731,1.745293047861196e-06,-3,-5,8,1076.271240234375
18,-0.12195121951219512,4.594477047703549e-07,-3,-5,8,1076.271240234375
19,-0.07317073170731703,1.2032618315060972e-06,-3,-5,8,1076.271240234375
20,-0.024390243902439046,4.4746157072950155e-06,-3,-5,8,1076.271240234375
21,0.024390243902439046,2.181798436140525e-06,-3,-5,8,1076.271240234375
22,0.07317073170731714,1.4247009858081583e-05,-3,-5,8,1076.271240234375
23,0.12195121951219523,4.8442019760841504e-05,-3,-5,8,1076.271240234375
24,0.17073170731707332,6.546381337102503e-05,-3,-5,8,1076.271240234375
25,0.2195121951219512,7.059235213091597e-05,-3,-5,8,1076.271240234375
26,0.2682926829268293,0.0002403590187896043,-3,-5,8,1076.271240234375
27,0.3170731707317074,0.00016367733769584447,-3,-5,8,1076.271240234375
28,0.36585365853658547,0.0001311613741563633,-3,-5,8,1076.271240234375
29,0.41463414634146356,2.34595008805627e-05,-3,-5,8,1076.271240234375
30,0.46341463414634143,7.897278919699602e-06,-3,-5,8,1076.271240234375
31,0.5121951219512195,6.041628148523159e-05,-3,-5,8,1076.271240234375
32,0.5609756097560976,3.8163914723554626e-05,-3,-5,8,1076.271240234375
33,0.6097560975609757,4.014237333649362e-07,-3,-5,8,1076.271240234375
34,0.6585365853658538,2.6360232823208207e-06,-3,-5,8,1076.271240234375
35,0.7073170731707317,2.9653446631527913e-07,-3,-5,8,1076.271240234375
36,0.7560975609756098,4.929695023747627e-06,-3,-5,8,1076.271240234375
37,0.8048780487804879,5.828034659316472e-07,-3,-5,8,1076.271240234375
38,0.853658536585366,1.7378937400280847e-06,-3,-5,8,1076.271240234375
39,0.902439024390244,1.938265540957218e-06,-3,-5,8,1076.271240234375
40,0.9512195121951219,1.8305174762645038e-06,-3,-5,8,1076.271240234375
41,1.0,2.837914792053198e-07,-3,-5,8,1076.271240234375
0,-1.0,8.964635526353959e-06,-3,-3,9,1076.271240234375
1,-0.9512195121951219,8.139111014315858e-05,-3,-3,9,1076.271240234375
2,-0.9024390243902439,0.00012234198220539838,-3,-3,9,1076.271240234375
3,-0.8536585365853658,0.00012159057951066643,-3,-3,9,1076.271240234375
4,-0.8048780487804879,0.000123986232210882,-3,-3,9,1076.271240234375
5,-0.7560975609756098,0.00022087157412897795,-3,-3,9,1076.271240234375
6,-0.7073170731707317,0.0007460365886799991,-3,-3,9,1076.271240234375
7,-0.6585365853658536,0.001707392861135304,-3,-3,9,1076.271240234375
8,-0.6097560975609756,0.016262918710708618,-3,-3,9,1076.271240234375
9,-0.5609756097560976,0.00015304620319511741,-3,-3,9,1076.271240234375
10,-0.5121951219512195,0.0003511562536004931,-3,-3,9,1076.271240234375
11,-0.46341463414634143,0.0003218408382963389,-3,-3,9,1076.271240234375
12,-0.41463414634146334,0.00012185655941721052,-3,-3,9,1076.271240234375
13,-0.36585365853658536,3.2045434636529535e-05,-3,-3,9,1076.271240234375
14,-0.31707317073170727,9.295429663325194e-06,-3,-3,9,1076.271240234375
15,-0.2682926829268293,0.00012334666098468006,-3,-3,9,1076.271240234375
16,-0.2195121951219512,5.868349762749858e-05,-3,-3,9,1076.271240234375
17,-0.1707317073170731,4.94237792736385e-06,-3,-3,9,1076.271240234375
18,-0.12195121951219512,1.0793975889100693e-05,-3,-3,9,1076.271240234375
19,-0.07317073170731703,1.2725165277061024e-07,-3,-3,9,1076.271240234375
20,-0.024390243902439046,2.961410473290016e-06,-3,-3,9,1076.271240234375
21,0.024390243902439046,3.382470822543837e-06,-3,-3,9,1076.271240234375
22,0.07317073170731714,1.0182024198002182e-05,-3,-3,9,1076.271240234375
23,0.12195121951219523,4.579722372000106e-06,-3,-3,9,1076.271240234375
24,0.17073170731707332,9.95437403616961e-07,-3,-3,9,1076.271240234375
25,0.2195121951219512,2.56600941384022e-07,-3,-3,9,1076.271240234375
26,0.2682926829268293,1.1611928130150773e-06,-3,-3,9,1076.271240234375
27,0.3170731707317074,4.16971715822001e-06,-3,-3,9,1076.271240234375
28,0.36585365853658547,3.6501312479231274e-06,-3,-3,9,1076.271240234375
29,0.41463414634146356,7.409318186546443e-06,-3,-3,9,1076.271240234375
30,0.46341463414634143,2.704417283894145e-06,-3,-3,9,1076.271240234375
31,0.5121951219512195,2.3753852929075947e-06,-3,-3,9,1076.271240234375
32,0.5609756097560976,8.03327657195041e-06,-3,-3,9,1076.271240234375
33,0.6097560975609757,2.7845728709507966e-06,-3,-3,9,1076.271240234375
34,0.6585365853658538,1.916334667839692e-06,-3,-3,9,1076.271240234375
35,0.7073170731707317,0.0,-3,-3,9,1076.271240234375
36,0.7560975609756098,0.0,-3,-3,9,1076.271240234375
37,0.8048780487804879,0.0,-3,-3,9,1076.271240234375
38,0.853658536585366,0.0,-3,-3,9,1076.271240234375
39,0.902439024390244,0.0,-3,-3,9,1076.271240234375
40,0.9512195121951219,0.0,-3,-3,9,1076.271240234375
41,1.0,0.0,-3,-3,9,1076.271240234375
0,-1.0,0.0,-3,-2,9,1076.271240234375
1,-0.9512195121951219,0.0,-3,-2,9,1076.271240234375
2,-0.9024390243902439,0.0,-3,-2,9,1076.271240234375
3,-0.8536585365853658,5.327773578756023e-06,-3,-2,9,1076.271240234375
4,-0.8048780487804879,1.3359222975850571e-05,-3,-2,9,1076.271240234375
5,-0.7560975609756098,1.2656636272367905e-06,-3,-2,9,1076.271240234375
6,-0.7073170731707317,4.160327080171555e-06,-3,-2,9,1076.271240234375
7,-0.6585365853658536,4.227580575388856e-06,-3,-2,9,1076.271240234375
8,-0.6097560975609756,3.832502443401609e-06,-3,-2,9,1076.271240234375
9,-0.5609756097560976,5.674948624800891e-06,-3,-2,9,1076.271240234375
10,-0.5121951219512195,4.344306944403797e-06,-3,-2,9,1076.271240234375
11,-0.46341463414634143,1.8690733440962504e-06,-3,-2,9,1076.271240234375
12,-0.41463414634146334,5.8281648307456635e-06,-3,-2,9,1076.271240234375
13,-0.36585365853658536,1.1546543987606128e-07,-3,-2,9,1076.271240234375
14,-0.31707317073170727,9.683712960395496e-06,-3,-2,9,1076.271240234375
15,-0.2682926829268293,6.91975992594962e-06,-3,-2,9,1076.271240234375
16,-0.2195121951219512,8.607869858678896e-06,-3,-2,9,1076.271240234375
17,-0.1707317073170731,4.6847744670230895e-06,-3,-2,9,1076.271240234375
18,-0.12195121951219512,1.0237645255983807e-06,-3,-2,9,1076.271240234375
19,-0.07317073170731703,1.1549403097887989e-05,-3,-2,9,1076.271240234375
20,-0.024390243902439046,9.285712621931452e-06,-3,-2,9,1076.271240234375
21,0.024390243902439046,4.622698725142982e-06,-3,-2,9,1076.271240234375
22,0.07317073170731714,3.3697672279231483e-06,-3,-2,9,1076.271240234375
23,0.12195121951219523,1.0147583452635445e-05,-3,-2,9,1076.271240234375
24,0.17073170731707332,3.5671218938659877e-06,-3,-2,9,1076.271240234375
25,0.2195121951219512,7.283734885277227e-05,-3,-2,9,1076.271240234375
26,0.2682926829268293,4.1998064261861145e-05,-3,-2,9,1076.271240234375
27,0.3170731707317074,5.1386112318141386e-05,-3,-2,9,1076.271240234375
28,0.36585365853658547,4.0487553633283824e-05,-3,-2,9,1076.271240234375
29,0.41463414634146356,2.987672087328974e-05,-3,-2,9,1076.271240234375
30,0.46341463414634143,8.524221630068496e-05,-3,-2,9,1076.271240234375
31,0.5121951219512195,0.00023540653637610376,-3,-2,9,1076.271240234375
32,0.5609756097560976,0.0005229096277616918,-3,-2,9,1076.271240234375
33,0.6097560975609757,0.00020407282863743603,-3,-2,9,1076.271240234375
34,0.6585365853658538,0.0001025754536385648,-3,-2,9,1076.271240234375
35,0.7073170731707317,0.0005077352398075163,-3,-2,9,1076.271240234375
36,0.7560975609756098,0.001668573240749538,-3,-2,9,1076.271240234375
37,0.8048780487804879,0.0022736007813364267,-3,-2,9,1076.271240234375
38,0.853658536585366,0.016685331240296364,-3,-2,9,1076.271240234375
39,0.902439024390244,0.0017727266531437635,-3,-2,9,1076.271240234375
40,0.9512195121951219,0.0015056554693728685,-3,-2,9,1076.271240234375
41,1.0,8.06602620286867e-05,-3,-2,9,1076.271240234375
0,-1.0,0.0,-3,5,11,1076.271240234375
1,-0.9512195121951219,0.0,-3,5,11,1076.271240234375
2,-0.9024390243902439,0.0,-3,5,11,1076.271240234375
3,-0.8536585365853658,0.0,-3,5,11,1076.271240234375
4,-0.8048780487804879,0.0,-3,5,11,1076.271240234375
5,-0.7560975609756098,0.0,-3,5,11,1076.271240234375
6,-0.7073170731707317,0.0,-3,5,11,1076.271240234375
7,-0.6585365853658536,0.0,-3,5,11,1076.271240234375
8,-0.6097560975609756,0.0,-3,5,11,1076.271240234375
9,-0.5609756097560976,0.0,-3,5,11,1076.271240234375
10,-0.5121951219512195,0.0,-3,5,11,1076.271240234375
11,-0.46341463414634143,0.0,-3,5,11,1076.271240234375
12,-0.41463414634146334,0.0,-3,5,11,1076.271240234375
13,-0.36585365853658536,0.0,-3,5,11,1076.271240234375
14,-0.31707317073170727,0.0,-3,5,11,1076.271240234375
15,-0.2682926829268293,1.0907782552749268e-06,-3,5,11,1076.271240234375
16,-0.2195121951219512,2.4518556074326625e-06,-3,5,11,1076.271240234375
17,-0.1707317073170731,1.0638636922521982e-06,-3,5,11,1076.271240234375
18,-0.12195121951219512,9.777468221727759e-07,-3,5,11,1076.271240234375
19,-0.07317073170731703,8.626524277133285e-07,-3,5,11,1076.271240234375
20,-0.024390243902439046,2.181603946382893e-07,-3,5,11,1076.271240234375
21,0.024390243902439046,3.172646927396272e-07,-3,5,11,1076.271240234375
22,0.07317073170731714,6.423668992283638e-07,-3,5,11,1076.271240234375
23,0.12195121951219523,7.382079729723046e-07,-3,5,11,1076.271240234375
24,0.17073170731707332,2.0812706225115107e-06,-3,5,11,1076.271240234375
25,0.2195121951219512,4.091726623300929e-06,-3,5,11,1076.271240234375
26,0.2682926829268293,3.985279363405425e-06,-3,5,11,1076.271240234375
27,0.3170731707317074,3.3895537399075693e-06,-3,5,11,1076.271240234375
28,0.36585365853658547,2.1868427211302333e-06,-3,5,11,1076.271240234375
29,0.41463414634146356,6.647122972935904e-06,-3,5,11,1076.271240234375
30,0.46341463414634143,2.958422328447341e-06,-3,5,11,1076.271240234375
31,0.5121951219512195,4.213690374399448e-07,-3,5,11,1076.271240234375
32,0.5609756097560976,1.5030560689410777e-06,-3,5,11,1076.271240234375
33,0.6097560975609757,7.4147837949567474e-06,-3,5,11,1076.271240234375
34,0.6585365853658538,6.697169737890363e-06,-3,5,11,1076.271240234375
35,0.7073170731707317,0.00011273562267888337,-3,5,11,1076.271240234375
