Intensity,HKL,G-vector Length
0.025072686,-3 -6 7,2.2914386722134426
0.0020250634,-3 -5 8,2.2334038019645495
0.01389848,-3 -4 8,2.0769948868138575
0.070983425,-3 -2 9,1.9743014596710282
0.01370349,-3 4 11,2.229078657775869
0.0046373853,-3 5 11,2.303916867311194
0.00016708883,-2 -8 3,2.2443437694130517
0.0014536824,-2 -7 4,2.07963150620623
0.005096455,-2 -6 4,1.8658195023142496
0.07083153,-2 -4 5,1.5640421342156492
0.3649439,-2 -2 6,1.3899334885022852
1.2898276,-2 1 7,1.372243542200004
0.08805718,-2 4 8,1.7082102440967384
0.009134405,-2 5 8,1.8201828367661974
0.008143522,-2 6 8,1.9546650629914697
0.0037590766,-1 -9 -1,2.270858345033202
0.020920403,-1 -8 0,2.026733379011654
0.029688645,-1 -7 0,1.7908740959654306
0.02219179,-1 -6 1,1.5663909028601553
0.21519311,-1 -5 1,1.3335682788915248
0.109156184,-1 -4 2,1.1490233478910459
0.2900539,-1 -3 2,0.9329097511571248
0.5564519,-1 -1 3,0.6949667442511426
0.9146091,-1 2 4,0.8541051220483692
0.039994203,-1 5 5,1.4352020783434736
0.014380724,-1 6 5,1.619659534345005
0.0045766714,-1 7 5,1.8164128486409503
0.026969414,-1 8 5,2.0218755882153543
0.0010078445,-1 9 5,2.233645625369977
0.00019924303,-1 9 6,2.318449438643732
0.0005498359,0 -9 -5,2.3322407820366116
0.0011357013,0 -9 -4,2.263445806153025
0.0015699061,0 -8 -4,2.041062316486471
0.00695419,0 -7 -3,1.7536670530162874
0.18099985,0 -6 -3,1.5307967373648532
0.034393948,0 -5 -2,1.2442874550322287
0.99527407,0 -3 -1,0.7361360819433932
0.49525872,0 3 1,0.7361360819433932
0.19445138,0 4 1,0.9674648980927528
0.0029045732,0 6 2,1.4722721638867864
0.019492328,0 7 2,1.702787716176383
0.0052555483,0 8 2,1.9349297961855056
0.0038767739,0 9 2,2.1681760200619746
0.0008173284,1 -8 -8,2.3357825640539294
0.0015311775,1 -8 -7,2.220331854679368
0.0008043107,1 -7 -7,2.034952256831931
0.02244197,1 -6 -6,1.7346485601699635
0.0024681566,1 -5 -6,1.5637790207966806
0.27336907,1 -3 -5,1.127173849348414
2.428135,1 -1 -4,0.7850980001876564
0.85388917,1 2 -3,0.8412316981112168
0.010619555,1 5 -2,1.372135318470247
0.03943789,1 6 -2,1.5993194297538391
0.002354869,1 7 -2,1.8290589308665925
0.0021462294,1 8 -2,2.060499244061386
0.0022005236,1 8 -1,2.035100134331908
0.007495718,1 9 -2,2.293125449026337
0.0017930195,1 9 -1,2.270354277828705
0.00196391,2 -6 -10,2.254347698696828
0.009087739,2 -5 -10,2.1387416855696206
0.032315243,2 -3 -9,1.7974434785959148
0.42126632,2 -1 -8,1.551815724360797
0.027632458,2 2 -7,1.5448715788550043
0.0594007,2 4 -6,1.6824633962224336
0.003867778,2 5 -6,1.8571260081675722
0.0033258623,2 6 -6,2.044435758050744
0.003913116,2 7 -6,2.241223941372351
0.0032279443,3 2 -11,2.301574078098929
