tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.0,0.0,-3,-6,7,1808.474609375
1,-0.9512195121951219,0.0,-3,-6,7,1808.474609375
2,-0.9024390243902439,0.0,-3,-6,7,1808.474609375
3,-0.8536585365853658,0.0,-3,-6,7,1808.474609375
4,-0.8048780487804879,0.0,-3,-6,7,1808.474609375
5,-0.7560975609756098,0.0,-3,-6,7,1808.474609375
6,-0.7073170731707317,0.0,-3,-6,7,1808.474609375
7,-0.6585365853658536,0.0,-3,-6,7,1808.474609375
8,-0.6097560975609756,0.0,-3,-6,7,1808.474609375
9,-0.5609756097560976,0.0,-3,-6,7,1808.474609375
10,-0.5121951219512195,0.0,-3,-6,7,1808.474609375
11,-0.46341463414634143,0.0,-3,-6,7,1808.474609375
12,-0.41463414634146334,0.0,-3,-6,7,1808.474609375
13,-0.36585365853658536,0.0,-3,-6,7,1808.474609375
14,-0.31707317073170727,0.0,-3,-6,7,1808.474609375
15,-0.2682926829268293,1.492252579282649e-07,-3,-6,7,1808.474609375
16,-0.2195121951219512,9.547471563564613e-06,-3,-6,7,1808.474609375
17,-0.1707317073170731,8.72994064593513e-07,-3,-6,7,1808.474609375
18,-0.12195121951219512,1.223031085828552e-05,-3,-6,7,1808.474609375
19,-0.07317073170731703,3.360570701715915e-07,-3,-6,7,1808.474609375
20,-0.024390243902439046,1.265858600163483e-06,-3,-6,7,1808.474609375
21,0.024390243902439046,2.9427109637936155e-08,-3,-6,7,1808.474609375
22,0.07317073170731714,5.0857188398367725e-06,-3,-6,7,1808.474609375
23,0.12195121951219523,1.3200562420934148e-07,-3,-6,7,1808.474609375
24,0.17073170731707332,2.3208829588838853e-05,-3,-6,7,1808.474609375
25,0.2195121951219512,8.837700988806318e-06,-3,-6,7,1808.474609375
26,0.2682926829268293,1.3639932149089873e-05,-3,-6,7,1808.474609375
27,0.3170731707317074,2.4614531866973266e-05,-3,-6,7,1808.474609375
28,0.36585365853658547,3.994769031123724e-06,-3,-6,7,1808.474609375
29,0.41463414634146356,0.016459569334983826,-3,-6,7,1808.474609375
30,0.46341463414634143,0.0002301989443367347,-3,-6,7,1808.474609375
31,0.5121951219512195,6.611562639591284e-06,-3,-6,7,1808.474609375
32,0.5609756097560976,4.5073018554830924e-05,-3,-6,7,1808.474609375
33,0.6097560975609757,3.6887358874082565e-06,-3,-6,7,1808.474609375
34,0.6585365853658538,6.927497452124953e-06,-3,-6,7,1808.474609375
35,0.7073170731707317,1.306037233916868e-07,-3,-6,7,1808.474609375
36,0.7560975609756098,2.59165449278953e-06,-3,-6,7,1808.474609375
37,0.8048780487804879,1.724848289086367e-06,-3,-6,7,1808.474609375
38,0.853658536585366,2.682729018488317e-06,-3,-6,7,1808.474609375
39,0.902439024390244,1.3357540638025966e-06,-3,-6,7,1808.474609375
40,0.9512195121951219,5.865576895303093e-06,-3,-6,7,1808.474609375
41,1.0,1.869287871159031e-06,-3,-6,7,1808.474609375
0,-1.0,1.2288376638025511e-05,-3,-5,8,1808.474609375
1,-0.9512195121951219,9.533554839435965e-05,-3,-5,8,1808.474609375
2,-0.9024390243902439,2.2133681341074407e-06,-3,-5,8,1808.474609375
3,-0.8536585365853658,1.537647904115147e-06,-3,-5,8,1808.474609375
4,-0.8048780487804879,0.00014297482266556472,-3,-5,8,1808.474609375
5,-0.7560975609756098,0.0014764718944206834,-3,-5,8,1808.474609375
6,-0.7073170731707317,0.00022409461962524801,-3,-5,8,1808.474609375
7,-0.6585365853658536,3.3321204682579264e-05,-3,-5,8,1808.474609375
8,-0.6097560975609756,1.7754036889527924e-05,-3,-5,8,1808.474609375
9,-0.5609756097560976,2.6318700747651746e-06,-3,-5,8,1808.474609375
10,-0.5121951219512195,3.640006252680905e-05,-3,-5,8,1808.474609375
11,-0.46341463414634143,6.308669497911978e-08,-3,-5,8,1808.474609375
12,-0.41463414634146334,7.291781116691709e-07,-3,-5,8,1808.474609375
