"total_loss","diff_loss","bond_length_loss","angle_loss","plane_loss","rigid_bond_loss","rbragg","wr","rotation_idx","num_bragg_spots","num_bragg_spots_obs"
"0.18548457324504852","0.18548457324504852","0","0","0","0","0.11727763712406158","0.18551434576511383","36","279","82"
"0.045081205666065216","0.045081205666065216","0","0","0","0","0.05838557705283165","0.044958800077438354","44","275","75"
"0.08314492553472519","0.08314492553472519","0","0","0","0","0.09863299876451492","0.08318580687046051","27","293","105"
"0.17889732122421265","0.17889732122421265","0","0","0","0","0.12918272614479065","0.17891934514045715","5","283","99"
"0.034388743340969086","0.034388743340969086","0","0","0","0","0.067948117852211","0.03442949056625366","32","283","90"
"0.11414977163076401","0.11414977163076401","0","0","0","0","0.12840533256530762","0.1141321063041687","39","277","84"
"0.06276477128267288","0.06276477128267288","0","0","0","0","0.07791373133659363","0.06284873932600021","40","277","72"
"0.07715896517038345","0.07715896517038345","0","0","0","0","0.08817807585000992","0.07717499136924744","14","284","108"
"0.08928196132183075","0.08928196132183075","0","0","0","0","0.08708684891462326","0.08925722539424896","12","279","95"
"0.11956053972244263","0.11956053972244263","0","0","0","0","0.1118965819478035","0.11949805915355682","18","296","100"
"0.08901190012693405","0.08901190012693405","0","0","0","0","0.11901707947254181","0.0890459418296814","15","264","105"
"0.12402663379907608","0.12402663379907608","0","0","0","0","0.11367996782064438","0.12396764010190964","48","279","76"
"0.06957511603832245","0.06957511603832245","0","0","0","0","0.08067785948514938","0.06951146572828293","33","280","89"
"0.049127865582704544","0.049127865582704544","0","0","0","0","0.07058744877576828","0.04916100949048996","46","298","70"
"0.09287285059690475","0.09287285059690475","0","0","0","0","0.0864081159234047","0.09279029071331024","4","282","113"
"0.05383412167429924","0.05383412167429924","0","0","0","0","0.0796508714556694","0.05364791676402092","10","281","99"
"0.068677619099617","0.068677619099617","0","0","0","0","0.08792763203382492","0.06865514069795609","17","286","86"
"0.06597067415714264","0.06597067415714264","0","0","0","0","0.08371668308973312","0.06585381180047989","51","296","89"
"0.07956960052251816","0.07956960052251816","0","0","0","0","0.09752116352319717","0.07947711646556854","43","279","76"
"0.06431134045124054","0.06431134045124054","0","0","0","0","0.09381610155105591","0.06440013647079468","34","277","95"
"0.07457658648490906","0.07457658648490906","0","0","0","0","0.08130785822868347","0.07457365840673447","9","283","102"
"0.08293149620294571","0.08293149620294571","0","0","0","0","0.09201047569513321","0.08293429017066956","20","292","108"
"0.04833584651350975","0.04833584651350975","0","0","0","0","0.0583329051733017","0.048248182982206345","38","284","85"
"0.1486152708530426","0.1486152708530426","0","0","0","0","0.09581536054611206","0.1486385464668274","19","262","100"
"0.04998188465833664","0.04998188465833664","0","0","0","0","0.06666763871908188","0.04986788332462311","41","283","81"
"0.05202217772603035","0.05202217772603035","0","0","0","0","0.0685126930475235","0.0518723800778389","47","279","54"
"0.13557803630828857","0.13557803630828857","0","0","0","0","0.08800491690635681","0.13562390208244324","2","279","94"
"0.08623556792736053","0.08623556792736053","0","0","0","0","0.1418192833662033","0.08633030951023102","1","268","76"
"0.07569372653961182","0.07569372653961182","0","0","0","0","0.0935479924082756","0.07576460391283035","29","277","100"
"0.06040305644273758","0.06040305644273758","0","0","0","0","0.08356613665819168","0.06053096801042557","21","281","120"
"0.10115548223257065","0.10115548223257065","0","0","0","0","0.09389826655387878","0.10116700828075409","28","286","98"
"0.1719791293144226","0.1719791293144226","0","0","0","0","0.10460252314805984","0.17200574278831482","16","292","117"
"0.06752762198448181","0.06752762198448181","0","0","0","0","0.13615600764751434","0.06764411181211472","26","282","92"
"0.05909417197108269","0.05909417197108269","0","0","0","0","0.06814466416835785","0.058931730687618256","42","277","74"
"0.08529122918844223","0.08529122918844223","0","0","0","0","0.12168090790510178","0.08520498126745224","13","284","119"
"0.10648451000452042","0.10648451000452042","0","0","0","0","0.12824635207653046","0.10654737055301666","50","273","76"
"0.0509510412812233","0.0509510412812233","0","0","0","0","0.07686696946620941","0.05082869157195091","37","287","77"
"0.08272110670804977","0.08272110670804977","0","0","0","0","0.09914114326238632","0.08273322135210037","11","284","123"
"0.17384487390518188","0.17384487390518188","0","0","0","0","0.10420576483011246","0.1738967001438141","35","292","92"
"0.07949160039424896","0.07949160039424896","0","0","0","0","0.1459273099899292","0.07943344116210938","31","290","99"
"0.11147689819335938","0.11147689819335938","0","0","0","0","0.12697114050388336","0.111426442861557","6","295","110"
"0.06336396932601929","0.06336396932601929","0","0","0","0","0.08735691010951996","0.06350358575582504","22","267","92"
"0.07590658962726593","0.07590658962726593","0","0","0","0","0.09800268709659576","0.07582321763038635","8","273","118"
"0.049680501222610474","0.049680501222610474","0","0","0","0","0.07580376416444778","0.04966016113758087","30","278","87"
"0.11037775874137878","0.11037775874137878","0","0","0","0","0.09802121669054031","0.11033701151609421","0","308","93"
"0.07772717624902725","0.07772717624902725","0","0","0","0","0.09560234099626541","0.07764635980129242","49","284","77"
"0.06045909225940704","0.06045909225940704","0","0","0","0","0.08607510477304459","0.06053085997700691","7","279","99"
"0.05413973703980446","0.05413973703980446","0","0","0","0","0.08546163141727448","0.05408993735909462","45","263","58"
"0.05774189904332161","0.05774189904332161","0","0","0","0","0.11255750805139542","0.05769782513380051","3","273","99"
"0.07207334041595459","0.07207334041595459","0","0","0","0","0.08241946995258331","0.0721442922949791","25","279","110"
"0.058733295649290085","0.058733295649290085","0","0","0","0","0.07470113784074783","0.05881807208061218","23","284","91"
"0.0967431291937828","0.0967431291937828","0","0","0","0","0.08224054425954819","0.0967300683259964","24","285","113"
