"atom_id","element","U11","U22","U33","U12","U13","U23"
"0","5","0.001490741438847502","0.006344242021357468","0.01473027230200252","-0.0026407304412468823","-0.00009690023744971822","-0.0032156820651889377"
"1","5","0.003295371699318532","0.008176648706106841","0.005261370233939849","-0.003891033864135259","0.0014011109711725535","-0.0005711555900979737"
"2","5","0.004850977612952592","0.009288770932421385","0.01577090731207484","0.0023135012708992157","-0.0019666231814144132","0.005912021967848107"
"3","5","0.0033984015751194396","0.0009115798088383097","0.015170585519421726","-0.0016298593902026016","0.004893866535040527","-0.003340659598997856"
"4","5","0.007182803523180684","0.008250309161939775","0.008888385354310488","0.002360305871579246","-0.0027881991712878675","0.003786455940314213"
"5","5","0.00413567419441691","0.004936276063139411","0.0026274597600276415","0.0006162924621723628","0.0009316191889885079","0.0007952002457450434"
"6","5","0.001417798627238792","0.0009312409518045517","0.020290995325746623","-0.0004054402342595338","0.0028883510125657444","0.0024482153851677654"
"7","5","0.00811558349474695","0.006372922863283894","0.007921330462453123","0.0015789770594676316","-0.002353048204966502","0.0015021184929247995"
"8","5","0.0005179708477751391","0.0002883900892315052","0.013232804754706","-0.0002570615287844342","0.0023908690022453175","-0.0017771118668492578"
"9","1","0.023002207021577264","0.01496394955261151","0.06110035576907237","0.016128381308304233","0.0075142505000154805","0.016760088081503848"
"10","1","0.14598043064587587","0.06598283786941302","0.009822433880415007","-0.01182898559141614","-0.026000211328026848","0.020466509021476887"
"11","1","0.04745850439339454","0.032493717170866264","0.07823199033178811","-0.01445559440645509","-0.013900284101109939","0.02793549314674411"
"12","1","0.06764468229596414","0.01748292222627222","0.050520357702483774","0.029020276080484558","0.01310124624085719","-0.008957450711738858"
"13","1","0.04958248451037894","0.08238873398585529","0.02610102873009619","-0.024012015844329784","0.021157886271971512","-0.002229494783508255"
"14","1","0.021352172694691467","0.01661522494551477","0.0072476650745673735","0.00925639404156748","-0.009916728523021756","-0.007773930641860124"
"15","1","0.03312361822221245","0.05389166110493094","0.012399983073329353","-0.004791838108304583","-0.009646647827405156","-0.018975900535158373"
"16","1","0.05589829112416093","0.07128357212814215","0.03221536929882997","0.0473710909501865","0.021956780889570697","0.03979204926848897"
"17","1","0.03305698219778751","0.010515006172079918","0.09827841279444705","0.013782771898415355","-0.0171609176039514","-0.018032669247798287"
"18","1","0.04335336487066202","0.07089730816814241","0.10462043816953537","0.002011787335014546","-0.043123312065774834","-0.006949476351261861"
"19","1","0.03861963302902071","0.035398193287605094","0.12384454254075485","-0.03549328099132265","-0.04187950729648571","0.030795239372249462"
