orientation,h,k,l,thickness_A,I_with_abs,I_without_abs,L_factor
orientation_1,2,-1,2,1780.0,0.0002505924482951865,0.0018668570182027299,3.102724084613284
orientation_1,2,-1,2,1800.0,0.00024241046651899705,0.001846612473257035,3.102724084613284
orientation_1,2,-1,2,1820.0,0.00023442500048169484,0.0018260107288951867,3.102724084613284
orientation_1,2,-1,2,1840.0,0.0002266351332055707,0.0018050742487188613,3.102724084613284
orientation_1,2,-1,2,1860.0,0.00021904081027812052,0.001783834313074863,3.102724084613284
orientation_1,2,-1,2,1880.0,0.00021164278430480538,0.0017623314407677634,3.102724084613284
orientation_1,2,-1,2,1900.0,0.00020443983910206718,0.0017405922997725037,3.102724084613284
orientation_1,2,-1,2,1920.0,0.0001974315151751531,0.0017186519970217786,3.102724084613284
orientation_1,2,-1,2,1940.0,0.000190622255817332,0.0016965150428587135,3.102724084613284
orientation_1,2,-1,2,1960.0,0.0001839934501553055,0.0016742887778027381,3.102724084613284
orientation_1,2,-1,2,1980.0,0.0001775646826957149,0.0016519651334519544,3.102724084613284
orientation_1,2,-1,2,2000.0,0.00017132367276384764,0.0016295568681097522,3.102724084613284
orientation_1,2,-1,2,2020.0,0.0001652703136475019,0.0016071125129855674,3.102724084613284
orientation_1,2,-1,2,2040.0,0.00015941152604040856,0.0015846682845921478,3.102724084613284
orientation_1,2,-1,2,2060.0,0.00015371906830047283,0.0015622525312662641,3.102724084613284
orientation_1,2,-1,2,2080.0,0.00014821622231020847,0.001539896747728444,3.102724084613284
orientation_1,2,-1,2,2100.0,0.0001428891688051939,0.0015176024326682648,3.102724084613284
orientation_1,2,-1,2,2120.0,0.00013774463253192566,0.0014955024902486124,3.102724084613284
orientation_1,2,-1,2,2140.0,0.00013276958769047452,0.001473516245824144,3.102724084613284
orientation_1,2,-1,2,2160.0,0.00012796512023120085,0.0014517172665237186,3.102724084613284
orientation_1,2,-1,2,2180.0,0.00012332827983485003,0.0014301360968576814,3.102724084613284
orientation_1,2,-1,2,2200.0,0.0001188549423138859,0.0014087898046394232,3.102724084613284
orientation_1,2,-1,2,2220.0,0.00011454289848135604,0.001387718618582776,3.102724084613284
orientation_1,2,-1,2,2240.0,0.00011038674583079901,0.0013669480603780225,3.102724084613284
orientation_1,2,-1,2,2260.0,0.00010639159335181442,0.001346540702454515,3.102724084613284
orientation_1,2,-1,2,2280.0,0.00010253598142784575,0.0013263620079587216,3.102724084613284
orientation_1,2,-1,2,2300.0,9.883734608038489e-05,0.001306687600351444,3.102724084613284
orientation_1,2,-1,2,2320.0,9.527939944916078e-05,0.001287373545760392,3.102724084613284
orientation_1,2,-1,2,2340.0,9.186184038572804e-05,0.0012684872445367472,3.102724084613284
orientation_1,2,-1,2,2360.0,8.858089584263222e-05,0.0012500495035212265,3.102724084613284
orientation_1,2,-1,2,2380.0,8.543210847330139e-05,0.0012320854272171076,3.102724084613284
orientation_1,2,-1,2,2400.0,8.241760603026004e-05,0.0012146160368164912,3.102724084613284
orientation_1,2,-1,2,2420.0,7.952099907538935e-05,0.0011976372532676203,3.102724084613284
orientation_1,2,-1,2,2440.0,7.675248678346532e-05,0.0011812430999353532,3.102724084613284
orientation_1,2,-1,2,2460.0,7.410107990274912e-05,0.0011653794736778394,3.102724084613284
orientation_1,2,-1,2,2480.0,7.156468715019443e-05,0.0011500884402170402,3.102724084613284
orientation_1,2,-1,2,2500.0,6.913639770554047e-05,0.0011353925888757713,3.102724084613284
orientation_1,5,9,-7,100.0,7.745210321502513e-06,8.674221941460189e-06,4.61497367813839
orientation_1,5,9,-7,120.0,9.08779464102657e-06,1.0411293356949895e-05,4.61497367813839
orientation_1,5,9,-7,140.0,1.036632891362734e-05,1.2148207818411512e-05,4.61497367813839
orientation_1,5,9,-7,160.0,1.1582857275594505e-05,1.388493916581153e-05,4.61497367813839
orientation_1,5,9,-7,180.0,1.2739498524947426e-05,1.5621461247098673e-05,4.61497367813839
orientation_1,5,9,-7,200.0,1.3838308528925053e-05,1.7357747916613875e-05,4.61497367813839
orientation_1,5,9,-7,220.0,1.488128194915622e-05,1.9093773034817346e-05,4.61497367813839
orientation_1,5,9,-7,240.0,1.5870353922445908e-05,2.0829510468496124e-05,4.61497367813839
orientation_1,5,9,-7,260.0,1.6807401698020886e-05,2.256493409116899e-05,4.61497367813839
