Index,hkl,U_g_real,U_g_imag,g_mag
68,"(4, 0, 2)",0.0068993465512503,0.0011637160222228,0.5212219498866031
148,"(9, 8, -4)",-0.0007057884578241,-0.0001274748263757,1.5034889302184005
177,"(11, 10, -5)",0.0005187628124842,7.687083146909513e-05,1.8567734872822368
305,"(-8, -6, 3)",-0.000167362860346,4.7456827287690746e-05,1.2454882759296764
1124,"(11, 13, -8)",-0.0006044947545742,-0.0002310984497612,2.1718812048251577
1125,"(11, 14, -9)",0.0001979848611495,3.551793019770696e-06,2.286129908057497
832,"(9, 14, -10)",0.0001718083799605,5.014971424332649e-06,2.181037669666467
976,"(11, 12, -7)",-0.0004725359259443,-5.4067497094787976e-05,2.061754174504141
1627,"(-13, -12, 8)",-4.05600069425864e-05,-2.789538201818546e-06,2.255551546715003
13,"(0, 13, -13)",-9.319289112990534e-19,-1.1552837743376697e-19,1.908041688281549
16,"(0, -10, 11)",-0.0003483148343999,-6.607791025873099e-05,1.5185756482982158
17,"(0, -9, 10)",8.318043175231226e-19,-1.4710613393232993e-18,1.3719725269152172
26,"(1, 8, -8)",-0.0001109931727786,-1.9778580043923635e-05,1.1806212397447993
27,"(1, -13, 15)",-5.112712280443904e-05,-3.5022344817574e-06,2.0151308006952813
31,"(1, -6, 7)",-0.0020968248605126,-0.0003472709671295,0.9405838259377064
32,"(1, -5, 6)",-0.00337431586059,-0.0012163658016791,0.7957835419440447
51,"(2, -11, 13)",-0.0002841519805274,-4.379196328175138e-05,1.736201776885943
52,"(2, -10, 12)",0.0022187220069944,0.000770907915037,1.591567083888089
66,"(3, 9, -8)",-0.004012715085205,-0.0013258321526988,1.3260914263348242
67,"(3, 10, -9)",-0.0013192215030561,-0.0002483799878986,1.4674317207318723
68,"(3, 11, -10)",-0.0012951265639643,-0.0006091814830914,1.6097445560945862
69,"(3, 12, -11)",0.0004460058122224,6.75760875832681e-05,1.7527930606882511
73,"(3, -7, 9)",-0.0024943453928051,-0.0005326441591079,1.1931131638273174
74,"(3, -6, 8)",-0.0007300264183722,-0.0001632341001816,1.0557201765429025
80,"(4, -11, 14)",0.0002630484724566,4.382371343278619e-05,1.8416594959960333
81,"(4, -10, 13)",5.6806888072136e-05,1.4445601205652056e-05,1.7017449062505
85,"(4, -3, 5)",-0.0091361385888939,-0.0012550705637841,0.7431894314853194
86,"(4, -2, 4)",0.0133941382336105,0.002795858730822,0.644742970136809
87,"(4, -1, 3)",0.01017476668477,0.001266073812935,0.5675744540277289
99,"(5, 11, -9)",0.0011763398310426,0.0002059577960204,1.642139802639387
100,"(5, 12, -10)",-2.6782085154895104e-05,-4.437879690490603e-06,1.7785291573196893
101,"(5, 13, -11)",-0.0003966958508488,-5.115616040083935e-05,1.9164532585781275
104,"(5, -8, 11)",-0.0010691376476787,-0.0002108031513353,1.4731554088251742
105,"(5, -7, 10)",-0.0017394617092708,-0.000780647851568,1.3430061375365945
106,"(5, -6, 9)",0.0020199438927126,0.0004078642356429,1.2166463780514605
108,"(6, -11, 15)",-2.762424380048333e-05,-9.847314558457072e-06,1.9760715950705376
109,"(6, -10, 14)",0.0012496517333555,0.0004813906426788,1.8424499531614984
113,"(6, -4, 7)",0.0006467730057807,0.0002606500110785,1.062776950046041
114,"(6, -3, 6)",0.0005293672728493,0.0002033404782462,0.9671144552052136
115,"(6, -2, 5)",-0.0007155017296987,-0.0002435919487277,0.8855564297317635
116,"(6, -1, 4)",0.0031157996012808,0.0003625551144277,0.8223103476585569
133,"(7, -8, 12)",0.0002044849854061,3.720055809837999e-05,1.6433601639727564
134,"(7, -7, 11)",-4.537076774854423e-05,1.588659775681306e-05,1.5230391031571349
140,"(8, -4, 8)",0.002677375369619,0.0010289087997606,1.289485940273618
141,"(8, -3, 7)",-0.0004933310066227,-5.728152621642367e-05,1.205871621850385
142,"(8, -2, 6)",0.0048410531501415,0.0013436201080507,1.1351489080554578
145,"(9, 2, 2)",0.0010687016848475,0.0001107668759361,1.1467638365604396
146,"(9, 3, 1)",0.0008068155050958,0.0001972970117832,1.1683001180264132
147,"(9, 4, 0)",-0.0019967803355916,-0.0002654270981228,1.2074217703739332
148,"(9, 5, -1)",-0.0005025032311653,-0.0001509565440156,1.2624950670081816
149,"(9, 6, -2)",0.0016193929679561,0.0002448056099179,1.331542171214168
150,"(9, 7, -3)",0.0002040488315865,7.241843683361955e-05,1.4125153486168447
157,"(9, -8, 13)",-0.0001095286711134,-1.354344603237108e-05,1.8349154092317337
158,"(9, -7, 12)",-0.000987403573414,-0.0005038715900452,1.7237943306996384
164,"(10, -4, 9)",-0.0013981771858209,-0.000265767995679,1.5270524860984005
165,"(10, -3, 8)",-0.0004877496004608,-0.0001224586605288,1.4521633957041735
166,"(10, -2, 7)",0.0011952648171794,0.0002316499882039,1.3887951818758315
169,"(11, 2, 3)",0.0016349661707879,0.0003288907551854,1.399317578399313
170,"(11, 3, 2)",-0.0035753207356193,-0.0011160082993625,1.4119080736570846
171,"(11, 4, 1)",-0.000465286425136,-8.459449668790982e-05,1.439431633858823
172,"(11, 5, 0)",-0.0010802282193442,-0.0006061911781931,1.481055956236488
173,"(11, 6, -1)",-4.746325828491008e-05,-2.610602786023337e-05,1.5356348391816184
174,"(11, 7, -2)",-0.0019109675790799,-0.0007043032010119,1.601844646015277
175,"(11, 8, -3)",-0.0002218424698649,-2.90586580586278e-05,1.6783094105324985
176,"(11, 9, -4)",-0.0015113549003507,-0.0005577230355398,1.7636958303093968
179,"(11, -8, 14)",0.0002223930489648,2.890041501641196e-05,2.041820915276693
180,"(11, -7, 13)",3.36930534104947e-05,9.033229750595505e-06,1.938845491492433
186,"(12, -4, 10)",0.0013077643964609,0.0005122396279134,1.771112859463527
187,"(12, -3, 9)",0.0005808087244506,8.712610684825059e-05,1.7027233620831863
188,"(12, -2, 8)",0.0015530351746051,0.0006220858141224,1.644620695317114
191,"(13, 2, 4)",0.0002564996143881,4.962761125861368e-05,1.654372459307037
192,"(13, 3, 3)",-0.0003248745241414,-5.657027345094936e-05,1.6606865482857938
193,"(13, 4, 2)",-0.0005785395622279,-0.0001085619763569,1.6798498998588631
194,"(13, 5, 1)",9.454217357052262e-05,1.668734098731086e-05,1.711430938515767
195,"(13, 6, 0)",0.0006876800468269,0.0001124509222746,1.7547593354693305
196,"(13, 7, -1)",-0.0002617554642821,-3.93447541980321e-05,1.808991180293384
197,"(13, 8, -2)",-0.0005378856824214,-8.26423802688749e-05,1.8731796903117464
198,"(13, 9, -3)",0.0004580923695368,5.577116307802445e-05,1.94634002961154
199,"(13, 10, -4)",0.0001904798866649,2.2997206046766333e-05,2.0275012124274467
202,"(14, -4, 11)",1.0086274217332263e-05,2.0311965182910964e-06,2.019313840673765
203,"(14, -3, 10)",-2.0623682270132896e-05,-8.672692556469004e-06,1.9559118917442213
204,"(14, -2, 9)",-1.5698984242173387e-05,-2.625792702347121e-06,1.901746188704204
208,"(15, 3, 4)",-0.0011988575525217,-0.0004098840329709,1.9126189833258755
209,"(15, 4, 3)",-5.7444268545484137e-05,-8.655696705174204e-06,1.9255295645821653
210,"(15, 5, 2)",-0.0003091559091723,-0.0002716095283147,1.949436105553639
211,"(15, 6, 1)",8.237038168252257e-05,9.304576860424492e-06,1.9839411412758623
212,"(15, 7, 0)",-0.001175518431724,-0.000347514726104,2.028503899752841
216,"(-16, -4, -2)",0.0005657720059411,0.0002726796090861,2.035143599312695
217,"(-16, -3, -3)",0.0001913228266908,1.897299390602968e-05,2.019354963016228
218,"(-16, -2, -4)",0.0006595877926162,0.0002851753875012,2.014165772807142
220,"(-15, 0, -6)",-2.9074641654164682e-19,-1.6655341080034736e-19,1.9167524994217104
221,"(-15, 1, -7)",0.0004490558841716,6.0907978082079885e-05,1.9448038558892848
222,"(-15, 2, -8)",-8.162569988654139e-05,-5.845824102003808e-06,1.9833477326427067
