orientation,h,k,l,thickness_A,I_with_abs,I_without_abs
orientation_1,5,9,-7,880.0,6.0817496210365055e-06,1.648229647164185e-05
orientation_1,5,9,-7,900.0,6.079283440873211e-06,1.6853188461649294e-05
orientation_1,5,9,-7,920.0,6.073786024095865e-06,1.7223827258599084e-05
orientation_1,5,9,-7,940.0,6.065394532859298e-06,1.75942073248666e-05
orientation_1,5,9,-7,960.0,6.054241547665027e-06,1.7964323129664528e-05
orientation_1,5,9,-7,980.0,6.040455200181026e-06,1.8334169144176856e-05
orientation_1,5,9,-7,1000.0,6.0241593074368705e-06,1.8703739851665172e-05
orientation_1,5,9,-7,1020.0,6.005473495735674e-06,1.907302973760408e-05
orientation_1,5,9,-7,1040.0,5.984513326141412e-06,1.9442033294831828e-05
orientation_1,5,9,-7,1060.0,5.961390414538933e-06,1.9810745022619564e-05
orientation_1,5,9,-7,1080.0,5.9362125487504934e-06,2.0179159426789324e-05
orientation_1,5,9,-7,1100.0,5.90908380248005e-06,2.054727101996536e-05
orientation_1,5,9,-7,1120.0,5.88010464603792e-06,2.0915074321514114e-05
orientation_1,5,9,-7,1140.0,5.8493720541183406e-06,2.1282563857818357e-05
orientation_1,5,9,-7,1160.0,5.8169796105344734e-06,2.164973416229072e-05
orientation_1,5,9,-7,1180.0,5.783017608120528e-06,2.2016579767953404e-05
orientation_1,5,9,-7,1200.0,5.747573151845358e-06,2.2383095222503858e-05
orientation_1,5,9,-7,1220.0,5.710730257966734e-06,2.2749275100630808e-05
orientation_1,5,9,-7,1240.0,5.672569942531308e-06,2.3115113985325486e-05
orientation_1,5,9,-7,1260.0,5.633170293418472e-06,2.3480606388540382e-05
orientation_1,5,9,-7,1280.0,5.592606599555443e-06,2.3845746916127922e-05
orientation_1,5,9,-7,1300.0,5.550951409722051e-06,2.4210530158967244e-05
orientation_1,5,9,-7,1320.0,5.508274617904916e-06,2.4574950697898036e-05
orientation_1,5,9,-7,1340.0,5.4646435550355905e-06,2.493900314939999e-05
orientation_1,5,9,-7,1360.0,5.420123057451143e-06,2.5302682119384586e-05
orientation_1,5,9,-7,1380.0,5.374775471922014e-06,2.5665981857214557e-05
orientation_1,5,9,-7,1400.0,5.328661366410488e-06,2.6028899329995046e-05
orientation_1,5,9,-7,1420.0,5.2818375732328305e-06,2.6391424365676e-05
orientation_1,5,9,-7,1440.0,5.2343605508295354e-06,2.6753555692502836e-05
orientation_1,5,9,-7,1460.0,5.18600858722816e-06,2.7115286732267867e-05
orientation_1,5,9,-7,1480.0,5.1376579831386785e-06,2.7476612124646712e-05
orientation_1,5,9,-7,1500.0,5.088533444900003e-06,2.7837527287316804e-05
orientation_1,5,9,-7,1520.0,5.0389570358371486e-06,2.8198024706233302e-05
orientation_1,5,9,-7,1540.0,4.988974790465626e-06,2.8558101263975002e-05
orientation_1,5,9,-7,1560.0,4.9386306051117715e-06,2.8917752145311204e-05
orientation_1,5,9,-7,1580.0,4.887965931354085e-06,2.9276968440858874e-05
orientation_1,5,9,-7,1600.0,4.836875002716892e-06,2.963484638393108e-05
orientation_1,5,9,-7,1620.0,4.785836587976025e-06,2.9994085782970345e-05
orientation_1,5,9,-7,1640.0,4.734447571119038e-06,3.035197509489472e-05
orientation_1,5,9,-7,1660.0,4.682890280363363e-06,3.0709411068975144e-05
orientation_1,5,9,-7,1680.0,4.631198864657772e-06,3.1066388772878965e-05
orientation_1,5,9,-7,1700.0,4.5794058577972114e-06,3.142290212022668e-05
orientation_1,5,9,-7,1720.0,4.527542778703786e-06,3.1778947626088045e-05
orientation_1,5,9,-7,1740.0,4.475639312464798e-06,3.2134518488355244e-05
orientation_1,5,9,-7,1760.0,4.423727254417633e-06,3.2489632953563775e-05
orientation_1,5,9,-7,1780.0,4.371834552691452e-06,3.284429193331746e-05
orientation_1,5,9,-7,1800.0,4.320038140212292e-06,3.319888408572107e-05
orientation_1,5,9,-7,1820.0,4.268175831241136e-06,3.355195665294417e-05
orientation_1,5,9,-7,1840.0,4.216475332597873e-06,3.390507898950279e-05
orientation_1,5,9,-7,1860.0,4.164886551828087e-06,3.425768356454492e-05
orientation_1,5,9,-7,1880.0,4.113435720937005e-06,3.460980315969445e-05
orientation_1,5,9,-7,1900.0,4.062138844316015e-06,3.496139460141436e-05
orientation_1,5,9,-7,1920.0,4.011016591523614e-06,3.53124611602246e-05
orientation_1,5,9,-7,1940.0,3.960123740688333e-06,3.566332396946018e-05
orientation_1,5,9,-7,1960.0,3.909359795544153e-06,3.601290654461098e-05
orientation_1,5,9,-7,1980.0,3.858884570349442e-06,3.636250466002743e-05
orientation_1,5,9,-7,2000.0,3.8086408072909996e-06,3.671144289510208e-05
orientation_1,5,9,-7,2020.0,3.7586562067467094e-06,3.705983258213048e-05
orientation_1,5,9,-7,2040.0,3.70894588280793e-06,3.740767629677207e-05
orientation_1,5,9,-7,2060.0,3.6595226796245763e-06,3.7754961576101375e-05
orientation_1,5,9,-7,2080.0,3.610398648972261e-06,3.8101674738450876e-05
orientation_1,5,9,-7,2100.0,3.561567628910531e-06,3.8447613427236144e-05
orientation_1,5,9,-7,2120.0,3.5131037550494456e-06,3.879345382358691e-05
orientation_1,5,9,-7,2140.0,3.464949059066925e-06,3.913844421392777e-05
orientation_1,5,9,-7,2160.0,3.4171406331043873e-06,3.948287420953468e-05
orientation_1,5,9,-7,2180.0,3.3696885365265737e-06,3.982674765078545e-05
orientation_1,5,9,-7,2200.0,3.322594181364723e-06,4.0169973182959526e-05
orientation_1,5,9,-7,2220.0,3.2758734340789463e-06,4.051263265956459e-05
orientation_1,5,9,-7,2240.0,3.2295195113998236e-06,4.085454256834281e-05
orientation_1,5,9,-7,2260.0,3.183596053410276e-06,4.119642254523246e-05
orientation_1,5,9,-7,2280.0,3.1379875992443596e-06,4.153668126344002e-05
orientation_1,5,9,-7,2300.0,3.092845381765333e-06,4.1877211618189144e-05
orientation_1,5,9,-7,2320.0,3.048084846904263e-06,4.221681756058956e-05
orientation_1,5,9,-7,2340.0,3.0037337447404882e-06,4.2555800110890026e-05
orientation_1,5,9,-7,2360.0,2.9597965958730327e-06,4.289415169859702e-05
orientation_1,5,9,-7,2380.0,2.916271614713121e-06,4.323177317094072e-05
orientation_1,5,9,-7,2400.0,2.873198860628697e-06,4.356921100569018e-05
orientation_1,5,9,-7,2420.0,2.8305010695064645e-06,4.390521272911394e-05
orientation_1,5,9,-7,2440.0,2.7867608381563963e-06,4.4241162300966915e-05
orientation_1,5,9,-7,2460.0,2.746463181170457e-06,4.4576296085708755e-05
orientation_1,5,9,-7,2480.0,2.705089216042894e-06,4.491077101765431e-05
orientation_1,5,9,-7,2500.0,2.6641982471859326e-06,4.524538365267785e-05
orientation_1,7,5,-2,100.0,4.033673750131816e-05,4.509560290334002e-05
orientation_1,7,5,-2,120.0,4.731645060376575e-05,5.409187207009456e-05
orientation_1,7,5,-2,140.0,5.3951933174996476e-05,6.306856754385798e-05
orientation_1,7,5,-2,160.0,6.025266224042083e-05,7.20224538632587e-05
orientation_1,7,5,-2,180.0,6.622799025388193e-05,8.095030795985785e-05
orientation_1,7,5,-2,200.0,7.188713730767953e-05,8.984892089300706e-05
orientation_1,7,5,-2,220.0,7.723919662918046e-05,9.871509958305311e-05
orientation_1,7,5,-2,240.0,8.229312772222855e-05,0.000107545668537486
orientation_1,7,5,-2,260.0,8.705775569646624e-05,0.0001163374715675174
orientation_1,7,5,-2,280.0,9.15417696197749e-05,0.00012508737349348935
orientation_1,7,5,-2,300.0,9.575372104033753e-05,0.0001337922618378496
orientation_1,7,5,-2,320.0,9.970202267339843e-05,0.00014244904850456547
orientation_1,7,5,-2,340.0,0.0001033949472478745,0.000151054671443914
orientation_1,7,5,-2,360.0,0.00010684062650801635,0.0001596060963016189
orientation_1,7,5,-2,380.0,0.00011004705036535616,0.00016810031805133017
orientation_1,7,5,-2,400.0,0.00011302206619622189,0.00017653436260945763
orientation_1,7,5,-2,420.0,0.00011577337828012789,0.0001849052884313841
orientation_1,7,5,-2,440.0,0.00011830854737440055,0.00019321018808809873
orientation_1,7,5,-2,460.0,0.00012063499042043394,0.00020144618982230299
orientation_1,7,5,-2,480.0,0.00012275998037701943,0.00020961045908305878
orientation_1,7,5,-2,500.0,0.00012469064617624096,0.00021770020003805446
orientation_1,7,5,-2,520.0,0.00012643397279747844,0.00022571265706259122
orientation_1,7,5,-2,540.0,0.00012799680145511537,0.00023364511620439424
orientation_1,7,5,-2,560.0,0.00012938582989560353,0.00024149490662337813
orientation_1,7,5,-2,580.0,0.0001306076127995951,0.00024925940200550386
orientation_1,7,5,-2,600.0,0.00013166856228491032,0.000256936021949891
orientation_1,7,5,-2,620.0,0.00013257494850618613,0.0002645222333283589
orientation_1,7,5,-2,640.0,0.00013333290034708237,0.0002720155516165769
orientation_1,7,5,-2,660.0,0.0001339484062010369,0.0002794135421960609
orientation_1,7,5,-2,680.0,0.00013442731483657188,0.000286713821626211
orientation_1,7,5,-2,700.0,0.00013477533634328198,0.00029391405888567226
orientation_1,7,5,-2,720.0,0.000134998043154652,0.00030101197658224347
orientation_1,7,5,-2,740.0,0.00013510087114396307,0.00030800535213070326
orientation_1,7,5,-2,760.0,0.0001350891207895794,0.0003148920188977026
orientation_1,7,5,-2,780.0,0.00013496795840604514,0.0003216698673132542
orientation_1,7,5,-2,800.0,0.00013474241743741732,0.00032833684594801746
orientation_1,7,5,-2,820.0,0.00013441739980938564,0.00033489096255579637
orientation_1,7,5,-2,840.0,0.0001339976773367738,0.00034133028508058803
orientation_1,7,5,-2,860.0,0.00013348789318328358,0.0003476529426280444
orientation_1,7,5,-2,880.0,0.000132892563369723,0.00035385712639941617
orientation_1,7,5,-2,900.0,0.00013221607832843702,0.00035994109058971316
orientation_1,7,5,-2,920.0,0.0001314627044999842,0.0003659031532472809
orientation_1,7,5,-2,940.0,0.00013063658596959728,0.00037174169709571614
orientation_1,7,5,-2,960.0,0.00012974174614854882,0.0003774551703416284
orientation_1,7,5,-2,980.0,0.00012878208943990408,0.0003830420872963566
orientation_1,7,5,-2,1000.0,0.00012776140305900506,0.00038850102932587736
orientation_1,7,5,-2,1020.0,0.00012668335871750353,0.00039383064527083635
orientation_1,7,5,-2,1040.0,0.0001255515144567123,0.0003990296521937117
orientation_1,7,5,-2,1060.0,0.00012436931645138364,0.0004040968359272363
orientation_1,7,5,-2,1080.0,0.00012314010086335916,0.0004090310516760179
orientation_1,7,5,-2,1100.0,0.00012186709566098176,0.00041383122440178066
orientation_1,7,5,-2,1120.0,0.00012055342252520852,0.0004184963494025562
orientation_1,7,5,-2,1140.0,0.00011920209871570392,0.00042302549267077727
orientation_1,7,5,-2,1160.0,0.00011781603897103221,0.00042741779128447043
orientation_1,7,5,-2,1180.0,0.00011639805736575526,0.00043167245355750646
orientation_1,7,5,-2,1200.0,0.00011495086932274513,0.0004357887596987237
orientation_1,7,5,-2,1220.0,0.0001134770935994411,0.0004397660623542916
orientation_1,7,5,-2,1240.0,0.00011197925407772104,0.0004436037863289527
orientation_1,7,5,-2,1260.0,0.00011045978125107762,0.0004473014269210654
orientation_1,7,5,-2,1280.0,0.00010892101510735324,0.00045085855392862335
orientation_1,7,5,-2,1300.0,0.00010736520636946629,0.00045427480898817285
orientation_1,7,5,-2,1320.0,0.00010579451863647804,0.0004575499065189179
orientation_1,7,5,-2,1340.0,0.00010421103017750628,0.0004606836331876053
orientation_1,7,5,-2,1360.0,0.00010261673598319794,0.0004636758484908306
orientation_1,7,5,-2,1380.0,0.00010101354766818222,0.00046652647512985016
orientation_1,7,5,-2,1400.0,9.940331092592179e-05,0.0004692355443275897
orientation_1,7,5,-2,1420.0,9.778775812274536e-05,0.0004718031049163555
orientation_1,7,5,-2,1440.0,9.616831345525434e-05,0.00047422931477159795
orientation_1,7,5,-2,1460.0,9.454740694715996e-05,0.00047651439358437276
orientation_1,7,5,-2,1480.0,9.292574336727832e-05,0.00047865863196000383
orientation_1,7,5,-2,1500.0,9.130506448242355e-05,0.000480662388052311
orientation_1,7,5,-2,1520.0,8.968676300587309e-05,0.0004825261076957842
orientation_1,7,5,-2,1540.0,8.807217098690792e-05,0.00048425028076729714
orientation_1,7,5,-2,1560.0,8.646255666986831e-05,0.00048583551412761494
orientation_1,7,5,-2,1580.0,8.485910603146367e-05,0.00048728236118747355
orientation_1,7,5,-2,1600.0,8.325946298036077e-05,0.0004885878393797887
orientation_1,7,5,-2,1620.0,8.167523490402368e-05,0.000489764042598646
orientation_1,7,5,-2,1640.0,8.009691147158706e-05,0.0004908004725271945
orientation_1,7,5,-2,1660.0,7.852896935509317e-05,0.0004917018244522633
orientation_1,7,5,-2,1680.0,7.697231948684801e-05,0.0004924690761650193
orientation_1,7,5,-2,1700.0,7.542782479869467e-05,0.0004931033050748934
orientation_1,7,5,-2,1720.0,7.389627825181899e-05,0.0004936055252756231
orientation_1,7,5,-2,1740.0,7.237845069964678e-05,0.0004939770053269442
orientation_1,7,5,-2,1760.0,7.087512161408168e-05,0.0004942195047313558
orientation_1,7,5,-2,1780.0,6.938696424661776e-05,0.0004943344442045515
orientation_1,7,5,-2,1800.0,6.791410882145762e-05,0.0004943194748856381
orientation_1,7,5,-2,1820.0,6.645776660241008e-05,0.0004941808403692687
orientation_1,7,5,-2,1840.0,6.501823011532903e-05,0.0004939182210671135
orientation_1,7,5,-2,1860.0,6.359594903093383e-05,0.0004935328191133239
orientation_1,7,5,-2,1880.0,6.219149717493044e-05,0.0004930272441614794
orientation_1,7,5,-2,1900.0,6.0805164391308995e-05,0.0004924021312160921
orientation_1,7,5,-2,1920.0,5.943735456052334e-05,0.0004916594059755012
orientation_1,7,5,-2,1940.0,5.808927809755416e-05,0.0004908086821085024
orientation_1,7,5,-2,1960.0,5.6758405615975216e-05,0.0004898260689204975
orientation_1,7,5,-2,1980.0,5.544843196747426e-05,0.00048874454715605
orientation_1,7,5,-2,2000.0,5.4157854316401344e-05,0.00048755005532403524
orientation_1,7,5,-2,2020.0,5.288717624161149e-05,0.0004862472427317281
orientation_1,7,5,-2,2040.0,5.163784278184694e-05,0.0004848385077034297
