tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-17,-7,-1,1076.271240234375
1,-1.4491525423728813,0.0,-17,-7,-1,1076.271240234375
2,-1.3983050847457628,0.0,-17,-7,-1,1076.271240234375
3,-1.347457627118644,0.0,-17,-7,-1,1076.271240234375
4,-1.2966101694915255,0.0,-17,-7,-1,1076.271240234375
5,-1.2457627118644068,0.0,-17,-7,-1,1076.271240234375
6,-1.194915254237288,0.0,-17,-7,-1,1076.271240234375
7,-1.1440677966101696,0.0,-17,-7,-1,1076.271240234375
8,-1.0932203389830508,0.0,-17,-7,-1,1076.271240234375
9,-1.042372881355932,0.0,-17,-7,-1,1076.271240234375
10,-0.9915254237288136,0.0,-17,-7,-1,1076.271240234375
11,-0.9406779661016949,0.0,-17,-7,-1,1076.271240234375
12,-0.8898305084745762,0.0,-17,-7,-1,1076.271240234375
13,-0.8389830508474576,0.0,-17,-7,-1,1076.271240234375
14,-0.7881355932203389,0.0,-17,-7,-1,1076.271240234375
15,-0.7372881355932203,0.0,-17,-7,-1,1076.271240234375
16,-0.6864406779661016,0.0,-17,-7,-1,1076.271240234375
17,-0.635593220338983,0.0,-17,-7,-1,1076.271240234375
18,-0.5847457627118644,0.0,-17,-7,-1,1076.271240234375
19,-0.5338983050847457,0.0,-17,-7,-1,1076.271240234375
20,-0.48305084745762716,0.0,-17,-7,-1,1076.271240234375
21,-0.43220338983050843,0.0,-17,-7,-1,1076.271240234375
22,-0.3813559322033897,0.0,-17,-7,-1,1076.271240234375
23,-0.3305084745762712,0.0,-17,-7,-1,1076.271240234375
24,-0.27966101694915246,0.0,-17,-7,-1,1076.271240234375
25,-0.22881355932203373,5.379803837968211e-07,-17,-7,-1,1076.271240234375
26,-0.17796610169491522,1.5110268236639968e-07,-17,-7,-1,1076.271240234375
27,-0.1271186440677965,5.799683577834003e-08,-17,-7,-1,1076.271240234375
28,-0.07627118644067776,7.614503516606419e-08,-17,-7,-1,1076.271240234375
29,-0.025423728813559254,4.862132385596851e-08,-17,-7,-1,1076.271240234375
30,0.025423728813559476,5.144099191056739e-08,-17,-7,-1,1076.271240234375
31,0.07627118644067798,3.4060244047395827e-07,-17,-7,-1,1076.271240234375
32,0.12711864406779672,1.3437783081826637e-06,-17,-7,-1,1076.271240234375
33,0.17796610169491545,5.557587314797274e-07,-17,-7,-1,1076.271240234375
34,0.22881355932203395,3.283045089119696e-07,-17,-7,-1,1076.271240234375
35,0.2796610169491527,1.6446592780994251e-06,-17,-7,-1,1076.271240234375
36,0.3305084745762712,1.3926454585089232e-06,-17,-7,-1,1076.271240234375
37,0.3813559322033899,1.491929992880614e-06,-17,-7,-1,1076.271240234375
38,0.43220338983050866,1.2841069292335305e-06,-17,-7,-1,1076.271240234375
39,0.48305084745762716,2.2899291707290104e-06,-17,-7,-1,1076.271240234375
40,0.5338983050847457,6.830007623648271e-05,-17,-7,-1,1076.271240234375
41,0.5847457627118646,2.085138658003416e-05,-17,-7,-1,1076.271240234375
42,0.6355932203389831,2.2137000996735878e-05,-17,-7,-1,1076.271240234375
43,0.6864406779661016,1.5991568943718448e-05,-17,-7,-1,1076.271240234375
44,0.7372881355932206,2.5006713713082718e-06,-17,-7,-1,1076.271240234375
45,0.7881355932203391,4.5752960886602523e-07,-17,-7,-1,1076.271240234375
46,0.8389830508474576,1.0540521770963096e-06,-17,-7,-1,1076.271240234375
47,0.8898305084745766,7.1332615334540606e-06,-17,-7,-1,1076.271240234375
48,0.9406779661016951,1.0319836292183027e-06,-17,-7,-1,1076.271240234375
49,0.9915254237288136,3.3680854016893136e-07,-17,-7,-1,1076.271240234375
50,1.0423728813559325,5.042040385205837e-08,-17,-7,-1,1076.271240234375
51,1.093220338983051,9.439034442948468e-07,-17,-7,-1,1076.271240234375
52,1.1440677966101696,1.2731713923130883e-06,-17,-7,-1,1076.271240234375
53,1.1949152542372885,2.1561160679084423e-07,-17,-7,-1,1076.271240234375
54,1.245762711864407,3.8280936109913455e-07,-17,-7,-1,1076.271240234375
55,1.2966101694915255,1.3676361731995712e-06,-17,-7,-1,1076.271240234375
56,1.3474576271186445,4.9092868437128345e-08,-17,-7,-1,1076.271240234375
57,1.398305084745763,2.0011212598092243e-07,-17,-7,-1,1076.271240234375
58,1.4491525423728815,0.0,-17,-7,-1,1076.271240234375
59,1.5,0.0,-17,-7,-1,1076.271240234375
0,-1.5,0.0,-17,-6,-2,1076.271240234375
1,-1.4491525423728813,0.0,-17,-6,-2,1076.271240234375
2,-1.3983050847457628,0.0,-17,-6,-2,1076.271240234375
3,-1.347457627118644,0.0,-17,-6,-2,1076.271240234375
4,-1.2966101694915255,0.0,-17,-6,-2,1076.271240234375
5,-1.2457627118644068,0.0,-17,-6,-2,1076.271240234375
6,-1.194915254237288,0.0,-17,-6,-2,1076.271240234375
7,-1.1440677966101696,0.0,-17,-6,-2,1076.271240234375
8,-1.0932203389830508,0.0,-17,-6,-2,1076.271240234375
9,-1.042372881355932,0.0,-17,-6,-2,1076.271240234375
10,-0.9915254237288136,0.0,-17,-6,-2,1076.271240234375
11,-0.9406779661016949,0.0,-17,-6,-2,1076.271240234375
12,-0.8898305084745762,0.0,-17,-6,-2,1076.271240234375
13,-0.8389830508474576,0.0,-17,-6,-2,1076.271240234375
14,-0.7881355932203389,0.0,-17,-6,-2,1076.271240234375
15,-0.7372881355932203,1.7333215964754345e-06,-17,-6,-2,1076.271240234375
16,-0.6864406779661016,6.370348160089634e-08,-17,-6,-2,1076.271240234375
17,-0.635593220338983,1.6398603364109476e-08,-17,-6,-2,1076.271240234375
18,-0.5847457627118644,4.5412750182549644e-07,-17,-6,-2,1076.271240234375
19,-0.5338983050847457,1.9669700179747451e-07,-17,-6,-2,1076.271240234375
20,-0.48305084745762716,7.329769857733481e-08,-17,-6,-2,1076.271240234375
21,-0.43220338983050843,4.5820436866961245e-07,-17,-6,-2,1076.271240234375
22,-0.3813559322033897,3.1128402042668313e-06,-17,-6,-2,1076.271240234375
23,-0.3305084745762712,4.3220032353019633e-07,-17,-6,-2,1076.271240234375
24,-0.27966101694915246,8.801367243904679e-07,-17,-6,-2,1076.271240234375
25,-0.22881355932203373,1.8819652041202062e-06,-17,-6,-2,1076.271240234375
26,-0.17796610169491522,2.864337375285686e-06,-17,-6,-2,1076.271240234375
27,-0.1271186440677965,2.9856141736672726e-06,-17,-6,-2,1076.271240234375
28,-0.07627118644067776,3.2860489795893955e-07,-17,-6,-2,1076.271240234375
29,-0.025423728813559254,2.805289113894105e-05,-17,-6,-2,1076.271240234375
30,0.025423728813559476,9.688735008239746e-05,-17,-6,-2,1076.271240234375
31,0.07627118644067798,1.3086944818496704e-05,-17,-6,-2,1076.271240234375
32,0.12711864406779672,1.1374486348358914e-05,-17,-6,-2,1076.271240234375
33,0.17796610169491545,2.0031200619996525e-05,-17,-6,-2,1076.271240234375
34,0.22881355932203395,8.963393156591337e-06,-17,-6,-2,1076.271240234375
35,0.2796610169491527,4.685308141461064e-08,-17,-6,-2,1076.271240234375
36,0.3305084745762712,8.131178788062243e-07,-17,-6,-2,1076.271240234375
37,0.3813559322033899,1.148007527262962e-06,-17,-6,-2,1076.271240234375
38,0.43220338983050866,3.6847933415629086e-07,-17,-6,-2,1076.271240234375
39,0.48305084745762716,4.984498445992358e-06,-17,-6,-2,1076.271240234375
40,0.5338983050847457,1.7043572597685852e-07,-17,-6,-2,1076.271240234375
41,0.5847457627118646,1.2395366866257973e-06,-17,-6,-2,1076.271240234375
42,0.6355932203389831,6.80762411775504e-07,-17,-6,-2,1076.271240234375
43,0.6864406779661016,1.386019903293345e-07,-17,-6,-2,1076.271240234375
44,0.7372881355932206,1.4063697051369672e-07,-17,-6,-2,1076.271240234375
45,0.7881355932203391,8.965527058535372e-07,-17,-6,-2,1076.271240234375
46,0.8389830508474576,0.0,-17,-6,-2,1076.271240234375
47,0.8898305084745766,0.0,-17,-6,-2,1076.271240234375
48,0.9406779661016951,0.0,-17,-6,-2,1076.271240234375
49,0.9915254237288136,0.0,-17,-6,-2,1076.271240234375
50,1.0423728813559325,0.0,-17,-6,-2,1076.271240234375
51,1.093220338983051,0.0,-17,-6,-2,1076.271240234375
52,1.1440677966101696,0.0,-17,-6,-2,1076.271240234375
53,1.1949152542372885,0.0,-17,-6,-2,1076.271240234375
54,1.245762711864407,0.0,-17,-6,-2,1076.271240234375
55,1.2966101694915255,0.0,-17,-6,-2,1076.271240234375
56,1.3474576271186445,0.0,-17,-6,-2,1076.271240234375
57,1.398305084745763,0.0,-17,-6,-2,1076.271240234375
58,1.4491525423728815,0.0,-17,-6,-2,1076.271240234375
59,1.5,0.0,-17,-6,-2,1076.271240234375
0,-1.5,0.0,-17,-5,-3,1076.271240234375
1,-1.4491525423728813,0.0,-17,-5,-3,1076.271240234375
2,-1.3983050847457628,0.0,-17,-5,-3,1076.271240234375
3,-1.347457627118644,0.0,-17,-5,-3,1076.271240234375
4,-1.2966101694915255,0.0,-17,-5,-3,1076.271240234375
5,-1.2457627118644068,0.0,-17,-5,-3,1076.271240234375
