Intensity,HKL,G-vector Length
0.0020920208,-14 -12 -4,2.269342607414636
0.0004677916,-14 -12 -3,2.2581634711956697
0.0002829731,-14 -11 -7,2.24930463305875
0.000119750905,-14 -11 -6,2.228309260839616
0.00050619646,-14 -10 -10,2.264429171290747
2.6722544e-05,-14 -10 -9,2.2338833313907775
6.261665e-05,-14 -9 -12,2.274625242014246
0.0021343753,-13 -13 2,2.238621299270305
0.0007378175,-13 -12 -1,2.1521809722667244
0.0010350123,-13 -11 -4,2.100274560682022
0.00040132072,-13 -10 -7,2.0854822464192835
0.0004062102,-13 -9 -10,2.108585271463505
9.1976304e-05,-13 -8 -14,2.2129407066279967
0.00056808256,-13 -8 -13,2.168372701118623
8.910329e-05,-13 -8 -12,2.1262734556293026
0.00018537947,-13 -7 -16,2.2619374818727773
3.655735e-05,-13 -7 -15,2.2118237375268595
0.0014101795,-12 -13 5,2.1872584057827082
0.0027261183,-12 -12 2,2.0674553876435655
0.00086502766,-12 -11 -1,1.9807717948180048
0.0005091364,-12 -10 -5,1.9484443744033604
0.000452219,-12 -10 -4,1.9316714791644873
0.001013711,-12 -9 -8,1.951036012124559
0.00037191785,-12 -9 -7,1.923035408074781
0.00052413513,-12 -8 -11,1.9938556211748497
0.00024519046,-12 -8 -10,1.9553997890513346
0.0003181929,-12 -7 -14,2.0744135635391108
0.00063565903,-12 -7 -13,2.026801461997576
0.0007528475,-12 -6 -17,2.188546482056153
0.00047560004,-12 -6 -16,2.1333243247827705
0.00014554852,-12 -6 -15,2.0801141032528507
0.00012224291,-12 -5 -19,2.2700294844087505
4.557825e-05,-12 -5 -18,2.2103032155692186
0.002092018,-11 -12 5,2.019252930505698
0.00119147,-11 -11 2,1.8963866565115355
0.0016174669,-11 -10 -2,1.815401129600666
0.0006128039,-11 -10 -1,1.8094184097811639
0.002669283,-11 -9 -5,1.7820219224822103
0.0007345936,-11 -9 -4,1.7636667171934255
0.0010714675,-11 -8 -8,1.7928568487416539
0.00079723675,-11 -8 -7,1.762344538970038
0.0012692669,-11 -7 -11,1.8471280153182015
0.000654773,-11 -7 -10,1.8055494830549619
0.0004309133,-11 -6 -14,1.9411957157607025
0.00081984105,-11 -6 -13,1.8902307463649537
0.00037068155,-11 -5 -17,2.069640641711236
0.00033550724,-11 -5 -16,2.0111559587132026
3.5175424e-05,-11 -4 -20,2.2265211972444665
0.0005424162,-11 -4 -19,2.162252756514066
0.0001296192,-11 -4 -18,2.0994623982292397
0.00013440702,-11 -3 -21,2.2701868135053096
0.0016647751,-10 -9 -2,1.6447445147370037
0.0009425993,-10 -8 -5,1.6167043319726524
0.0010227694,-10 -7 -8,1.6374046391474717
0.0036487915,-10 -6 -11,1.7050711670206107
0.00093397364,-10 -6 -10,1.6599378449950877
9.586533e-05,-10 -5 -14,1.8144569694344466
0.00032201794,-10 -5 -13,1.7598251320515241
0.00010309018,-10 -4 -17,1.9585844838235313
0.00025700638,-10 -4 -16,1.8966781536608253
6.0171515e-05,-10 -3 -20,2.130414265733354
0.00016040458,-10 -3 -19,2.0631539493622753
0.00016139312,-10 -2 -22,2.252694629989807
0.00014731311,-10 -2 -21,2.1825768818520355
0.0039028558,-9 -12 11,2.040825557739973
0.0016135251,-9 -9 1,1.5476720196016045
0.0029487766,-9 -8 -2,1.474330997065586
0.0017729051,-9 -7 -5,1.4528688084544816
0.0008416457,-9 -6 -8,1.4855357071684032
0.0004461613,-9 -5 -11,1.5689542941034176
0.0006300634,-9 -4 -14,1.695650758180948
0.0002098598,-9 -4 -13,1.6370585905964932
0.00011104737,-9 -3 -17,1.856787033419432
0.00037303858,-9 -3 -16,1.7913659200815755
0.00017884224,-9 -2 -20,2.0442351523859217
0.00015985356,-9 -2 -19,1.9740404168188872
6.713443e-05,-9 -1 -23,2.2514327229670648
0.0003483581,-9 -1 -22,2.1779559113673783
0.00025741616,-9 -1 -21,2.105350240441094
0.00090567983,-8 -12 14,2.109394439035538
0.0066838944,-8 -9 4,1.4986375868461117
0.0028055878,-8 -8 1,1.376260388061667
0.0021819687,-8 -7 -2,1.3042558689951165
0.0042062066,-8 -6 -5,1.291079689596892
0.00076749973,-8 -5 -8,1.3384703339976758
0.0030997072,-8 -4 -11,1.440462280698435
0.00095688866,-8 -3 -14,1.5865601174424078
0.0017072952,-8 -2 -17,1.7658502505658968
0.00041278,-8 -2 -16,1.6969265786810106
0.0011945546,-8 -1 -20,1.9692876594365938
0.00022076059,-8 -1 -19,1.8963203918243026
5.5224955e-05,-8 0 -23,2.1901537253845262
0.00028739884,-8 0 -22,2.114548396344751
0.00010916107,-8 0 -21,2.0396866272554344
1.40846705e-05,-8 1 -24,2.269586425604893
0.0013771836,-7 -12 17,2.2123839216314627
