"Step","Theta","Pred Thickness"
"3663","-49.197","842.1598491601724"
"3663","-48.703150753768846","842.1991244506206"
"3663","-48.20930150753769","842.2393171578193"
"3663","-47.71545226130654","842.2804313429914"
"3663","-47.22160301507538","842.3224712063295"
"3663","-46.727753768844224","842.3654411101219"
"3663","-46.23390452261307","842.4093456019962"
"3663","-45.74005527638191","842.454189438198"
"3663","-45.24620603015076","842.4999776068263"
"3663","-44.7523567839196","842.5467153509398"
"3663","-44.258507537688445","842.5944081914516"
"3663","-43.76465829145729","842.6430619497208"
"3663","-43.27080904522613","842.692682769757"
"3663","-42.77695979899498","842.7432771399435"
"3663","-42.28311055276382","842.7948519141917"
"3663","-41.789261306532666","842.8474143324337"
"3663","-41.29541206030151","842.9009720403627"
"3663","-40.80156281407035","842.9555331083299"
"3663","-40.3077135678392","843.0111060493078"
"3663","-39.813864321608044","843.0676998358317"
"3663","-39.32001507537689","843.1253239158283"
"3663","-38.82616582914573","843.1839882272507"
"3663","-38.33231658291457","843.2437032114307"
"3663","-37.838467336683415","843.3044798250718"
"3663","-37.344618090452265","843.3663295508"
"3663","-36.85076884422111","843.4292644062032"
"3663","-36.35691959798995","843.4932969512815"
"3663","-35.86307035175879","843.5584402942476"
"3663","-35.369221105527636","843.6247080956078"
"3663","-34.875371859296486","843.6921145704723"
"3663","-34.38152261306533","843.7606744890363"
"3663","-33.88767336683417","843.8304031751838"
"3663","-33.393824120603014","843.9013165031763"
"3663","-32.89997487437186","843.9734308923835"
"3663","-32.40612562814071","844.0467633000276"
"3663","-31.91227638190955","844.1213312119173"
"3663","-31.418427135678392","844.1971526311489"
"3663","-30.924577889447235","844.274246064765"
"3663","-30.43072864321608","844.3526305083622"
"3663","-29.936879396984924","844.4323254286505"
"3663","-29.44303015075377","844.5133507439674"
"3663","-28.949180904522613","844.5957268027629"
"3663","-28.455331658291456","844.6794743600716"
"3663","-27.961482412060302","844.7646145520016"
"3663","-27.467633165829145","844.8511688682679"
"3663","-26.97378391959799","844.9391591228103"
"3663","-26.479934673366834","845.0286074225424"
"3663","-25.986085427135677","845.1195361342757"
"3663","-25.492236180904523","845.2119678498802"
"3663","-24.998386934673366","845.3059253497396"
"3663","-24.504537688442213","845.4014315645668"
"3663","-24.010688442211055","845.4985095356533"
"3663","-23.516839195979898","845.5971823736264"
"3663","-23.022989949748744","845.6974732157935"
"3663","-22.529140703517587","845.7994051821615"
"3663","-22.03529145728643","845.9030013302155"
"3663","-21.541442211055276","846.0082846085502"
"3663","-21.04759296482412","846.1152778094482"
"3663","-20.553743718592965","846.2240035205043"
"3663","-20.05989447236181","846.3344840753925"
"3663","-19.56604522613065","846.4467415038818"
"3663","-19.072195979899497","846.5607974812013"
"3663","-18.57834673366834","846.6766732768642"
"3663","-18.084497487437186","846.7943897030519"
"3663","-17.59064824120603","846.9139670626721"
"3663","-17.096798994974872","847.0354250971936"
"3663","-16.60294974874372","847.1587829343719"
"3663","-16.10910050251256","847.2840590359665"
"3663","-15.615251256281406","847.4112711455675"
"3663","-15.12140201005025","847.5404362366314"
"3663","-14.627552763819095","847.6715704608365"
"3663","-14.133703517587938","847.8046890968642"
"3663","-13.639854271356782","847.9398064997101"
"3663","-13.146005025125627","848.0769360506278"
"3663","-12.652155778894471","848.2160901078076"
"3663","-12.158306532663316","848.357279957892"
"3663","-11.664457286432159","848.5005157684216"
"3663","-11.170608040201003","848.6458065413121"
"3663","-10.676758793969848","848.7931600674542"
"3663","-10.182909547738692","848.9425828825267"
"3663","-9.689060301507535","849.0940802241157"
"3663","-9.19521105527638","849.2476559902225"
"3663","-8.701361809045224","849.4033126992466"
"3663","-8.207512562814069","849.5610514515262"
"3663","-7.713663316582912","849.7208718925131"
"3663","-7.219814070351757","849.8827721776594"
"3663","-6.7259648241206005","850.0467489390907"
"3663","-6.232115577889445","850.212797254133"
"3663","-5.73826633165829","850.3809106157667"
"3663","-5.244417085427133","850.5510809050677"
"3663","-4.750567839195978","850.7232983657024"
"3663","-4.2567185929648215","850.8975515805316"
"3663","-3.762869346733666","851.0738274503859"
"3663","-3.26902010050251","851.252111175061"
"3663","-2.7751708542713542","851.4323862365868"
"3663","-2.2813216080401983","851.6146343848183"
"3663","-1.7874723618090425","851.7988356253929"
"3663","-1.2936231155778866","851.9849682100969"
"3663","-0.7997738693467308","852.1730086296786"
"3663","-0.30592462311557495","852.362931609148"
"3663","0.18792462311557284","852.5547101055922"
"3663","0.6817738693467287","852.7483153085384"
"3663","1.1756231155778845","852.9437166428917"
"3663","1.6694723618090404","853.1408817744702"
"3663","2.1633216080401962","853.3397766181571"
"3663","2.657170854271352","853.5403653486882"
"3663","3.151020100502508","853.7426104140859"
"3663","3.644869346733664","853.946472551751"
"3663","4.138718592964819","854.1519108072151"
"3663","4.632567839195976","854.3588825555601"
"3663","5.126417085427131","854.5673435254959"
"3663","5.6202663316582875","854.7772478260969"
"3663","6.114115577889443","854.9885479761816"
"3663","6.607964824120598","855.201194936322"
"3663","7.101814070351755","855.4151381434625"
"3663","7.59566331658291","855.630325548126"
"3663","8.089512562814066","855.8467036541746"
"3663","8.583361809045222","856.0642175610926"
"3663","9.077211055276377","856.2828110087544"
"3663","9.571060301507533","856.5024264246279"
"3663","10.06490954773869","856.7230049733694"
"3663","10.558758793969846","856.9444866087499"
"3663","11.052608040201001","857.1668101278558"
"3663","11.546457286432156","857.3899132274948"
"3663","12.040306532663314","857.6137325627382"
"3663","12.534155778894469","857.8382038075184"
"3663","13.028005025125625","858.0632617172018"
"3663","13.52185427135678","858.2888401930466"
"3663","14.015703517587935","858.5148723484494"
"3663","14.509552763819093","858.7412905768858"
"3663","15.003402010050248","858.968026621432"
"3663","15.497251256281404","859.1950116457623"
"3663","15.991100502512559","859.4221763065042"
"3663","16.484949748743716","859.6494508268296"
"3663","16.97879899497487","859.8767650711565"
"3663","17.472648241206027","860.1040486208295"
"3663","17.966497487437184","860.3312308506468"
"3663","18.460346733668338","860.55824100609"
"3663","18.954195979899495","860.7850082811193"
"3663","19.44804522613065","861.0114618963834"
"3663","19.941894472361806","861.2375311776967"
"3663","20.435743718592963","861.4631456346349"
"3663","20.929592964824117","861.6882350390886"
"3663","21.423442211055274","861.9127295036277"
"3663","21.917291457286428","862.1365595595139"
"3663","22.411140703517585","862.3596562342063"
"3663","22.904989949748742","862.5819511282057"
"3663","23.398839195979896","862.8033764910754"
"3663","23.892688442211053","863.023865296488"
"3663","24.38653768844221","863.2433513161417"
"3663","24.880386934673364","863.4617691923942"
"3663","25.37423618090452","863.6790545094655"
"3663","25.868085427135675","863.8951438630651"
"3663","26.361934673366832","864.1099749282974"
"3663","26.85578391959799","864.3234865257128"
"3663","27.349633165829143","864.5356186853676"
"3663","27.8434824120603","864.7463127087676"
"3663","28.337331658291454","864.9555112285728"
"3663","28.83118090452261","865.1631582659479"
"3663","29.32503015075377","865.3691992854519"
"3663","29.818879396984922","865.5735812473627"
"3663","30.31272864321608","865.7762526573457"
"3663","30.806577889447233","865.9771636133792"
"3663","31.30042713567839","866.1762658498593"
"3663","31.794276381909548","866.3735127788153"
"3663","32.288125628140705","866.5688595281739"
"3663","32.781974874371855","866.7622629770223"
"3663","33.27582412060301","866.9536817878255"
"3663","33.76967336683417","867.1430764355654"
