"Step","Theta","Pred Thickness"
"1466","-58.987","477.10152641137387"
"1466","-58.39893969849246","475.69889543485044"
"1466","-57.81087939698492","474.3038784892012"
"1466","-57.22281909547739","472.9167620785431"
"1466","-56.63475879396985","471.5378338735864"
"1466","-56.04669849246231","470.1673825778893"
"1466","-55.45863819095477","468.8056977916295"
"1466","-54.87057788944724","467.453069873031"
"1466","-54.2825175879397","466.1097897975708"
"1466","-53.69445728643216","464.77614901512084"
"1466","-53.10639698492462","463.4524393051578"
"1466","-52.51833668341709","462.1389526302072"
"1466","-51.93027638190955","460.8359809876711"
"1466","-51.34221608040201","459.5438162602039"
"1466","-50.75415577889447","458.2627500648093"
"1466","-50.16609547738694","456.9930736008233"
"1466","-49.5780351758794","455.7350774969643"
"1466","-48.98997487437186","454.48905165762903"
"1466","-48.40191457286432","453.2552851086158"
"1466","-47.81385427135678","452.0340658424634"
"1466","-47.22579396984925","450.8256806635901"
"1466","-46.63773366834171","449.6304150334289"
"1466","-46.04967336683417","448.4485529157457"
"1466","-45.46161306532663","447.2803766223343"
"1466","-44.8735527638191","446.12616665928545"
"1466","-44.28549246231156","444.9862015740184"
"1466","-43.69743216080402","443.860757803274"
"1466","-43.10937185929648","442.75010952225665"
"1466","-42.52131155778895","441.65452849512116"
"1466","-41.93325125628141","440.5742839269916"
"1466","-41.34519095477387","439.50964231770206"
"1466","-40.75713065326633","438.4608673174391"
"1466","-40.16907035175879","437.4282195844769"
"1466","-39.58101005025126","436.4119566451725"
"1466","-38.99294974874372","435.4123327564019"
"1466","-38.40488944723618","434.42959877060605"
"1466","-37.81682914572864","433.46400200360847"
"1466","-37.22876884422111","432.5157861053657"
"1466","-36.64070854271357","431.58519093380346"
"1466","-36.05264824120603","430.67245243188563"
"1466","-35.46458793969849","429.77780250805745"
"1466","-34.87652763819096","428.90146892019504"
"1466","-34.28846733668342","428.04367516318894"
"1466","-33.70040703517588","427.20464036028284"
"1466","-33.11234673366834","426.3845791582741"
"1466","-32.52428643216081","425.5837016266835"
"1466","-31.936226130653267","424.8022131609879"
"1466","-31.348165829145728","424.04031439000096"
"1466","-30.76010552763819","423.2982010874859"
"1466","-30.172045226130653","422.57606408805697"
"1466","-29.583984924623113","421.8740892074462"
"1466","-28.995924623115577","421.19245716717415"
"1466","-28.407864321608038","420.5313435236724"
"1466","-27.819804020100502","419.89091860189035"
"1466","-27.231743718592963","419.2713474334116"
"1466","-26.643683417085427","418.6727896990908"
"1466","-26.055623115577887","418.09539967622464"
"1466","-25.46756281407035","417.53932619024613"
"1466","-24.879502512562812","417.0047125709356"
"1466","-24.291442211055276","416.49169661312897"
"1466","-23.703381909547737","416.0004105418898"
"1466","-23.1153216080402","415.53098098211166"
"1466","-22.52726130653266","415.0835289325063"
"1466","-21.939201005025126","414.6581697439207"
"1466","-21.351140703517586","414.2550131019249"
"1466","-20.763080402010047","413.87416301360327"
"1466","-20.17502010050251","413.51571779846904"
"1466","-19.58695979899497","413.1797700834262"
"1466","-18.998899497487436","412.8664068016841"
"1466","-18.410839195979896","412.57570919553257"
"1466","-17.82277889447236","412.3077528228777"
"1466","-17.23471859296482","412.06260756742785"
"1466","-16.646658291457285","411.8403376524227"
"1466","-16.058597989949746","411.6410016577861"
"1466","-15.470537688442208","411.46465254058046"
"1466","-14.88247738693467","411.3113376586445"
"1466","-14.294417085427133","411.18109879727683"
"1466","-13.706356783919595","411.0739721988401"
"1466","-13.118296482412058","410.9899885951489"
"1466","-12.53023618090452","410.9291732425039"
"1466","-11.942175879396983","410.8915459592337"
"1466","-11.354115577889445","410.8771211656052"
"1466","-10.766055276381907","410.8859079259565"
"1466","-10.17799497487437","410.917909992914"
"1466","-9.589934673366832","410.97312585354763"
"1466","-9.001874371859294","411.0515487773225"
"1466","-8.413814070351757","411.1531668657013"
"1466","-7.825753768844218","411.2779631032597"
"1466","-7.237693467336681","411.4259154101675"
"1466","-6.649633165829143","411.5969966959016"
"1466","-6.061572864321605","411.79117491405015"
"1466","-5.473512562814068","412.0084131180674"
"1466","-4.885452261306529","412.24866951785594"
"1466","-4.297391959798992","412.51189753703534"
"1466","-3.709331658291454","412.79804587077535"
"1466","-3.1212713567839163","413.1070585440674"
"1466","-2.5332110552763787","413.4388749703131"
"1466","-1.945150753768841","413.79343001011443"
"1466","-1.3570904522613032","414.17065403015215"
"1466","-0.7690301507537655","414.5704729620435"
"1466","-0.18096984924623738","414.99280836107545"
"1466","0.40709045226130036","415.43757746471755"
"1466","0.9951507537688381","415.9046932508168"
"1466","1.5832110552763758","416.3940644953873"
"1466","2.1712713567839135","416.9055958299141"
"1466","2.759331658291451","417.4391877980879"
"1466","3.347391959798989","417.9947369119063"
"1466","3.935452261306527","418.572135707068"
"1466","4.523512562814065","419.171272797607"
"1466","5.1115728643216025","419.7920329297027"
"1466","5.69963316582914","420.4342970346329"
"1466","6.287693467336678","421.0979422808092"
"1466","6.875753768844215","421.78284212487574"
"1466","7.463814070351753","422.4888663618309"
"1466","8.051874371859292","423.2158811741533"
"1466","8.63993467336683","423.9637491799129"
"1466","9.227994974874367","424.73232947985764"
"1466","9.816055276381904","425.5214777034691"
"1466","10.404115577889442","426.3310460539907"
"1466","10.99217587939698","427.160883352431"
"1466","11.580236180904517","428.01083508056195"
"1466","12.168296482412055","428.8807434229233"
"1466","12.756356783919593","429.77044730786406"
"1466","13.34441708542713","430.67978244764697"
"1466","13.932477386934668","431.6085813776539"
"1466","14.520537688442205","432.5566734947303"
"1466","15.108597989949743","433.52388509471916"
"1466","15.696658291457283","434.5100394092276"
"1466","16.28471859296482","435.5149566416883"
"1466","16.872778894472358","436.5384540027753"
"1466","17.460839195979894","437.5803457452311"
"1466","18.048899497487433","438.6404431981799"
"1466","18.63695979899497","439.7185548009985"
"1466","19.22502010050251","440.81448613681505"
"1466","19.813080402010044","441.9280399657182"
"1466","20.401140703517584","443.0590162577581"
"1466","20.989201005025123","444.20721222581903"
"1466","21.57726130653266","445.37242235845497"
