,Rotation Index,Thickness,Scaling Factor wrbragg,wR2
516,16,489.0404052734375,1.0,0.0013703957665711641
616,33,489.0404052734375,1.0,0.0029572690837085247
316,43,489.0404052734375,1.0,0.004378445912152529
416,48,489.0404052734375,1.0,0.004742014687508345
716,57,489.0404052734375,1.0,0.010511633940041065
116,58,489.0404052734375,1.0,0.012032651342451572
16,66,489.0404052734375,1.0,0.001284101395867765
216,94,489.0404052734375,1.0,0.003811601782217622
