Intensity,HKL,G-vector Length
2.6022067e-06,-18 -4 -3,2.2823515326377994
5.6496824e-06,-18 -3 -4,2.2714675222281278
1.727482e-05,-18 -2 -5,2.270042172270241
8.7656485e-07,-18 -1 -6,2.2780932370249305
1.5759092e-06,-18 0 -7,2.29552100896881
2.3696489e-06,-17 -7 1,2.2566921718476918
2.0335421e-05,-17 -4 -3,2.1629099423703244
0.00011839659,-17 -3 -4,2.1514218310804463
4.6623704e-06,-17 -2 -5,2.1499169623591996
6.1367515e-05,-17 -1 -6,2.1584162175482287
7.916818e-06,-17 0 -7,2.1768024174590863
0.00011868686,-17 1 -8,2.204828232421149
1.3556946e-05,-17 2 -9,2.2421322168088444
0.00010312688,-17 3 -10,2.2882606482147185
2.793824e-05,-16 -8 2,2.197371183008049
3.0140483e-05,-16 -7 1,2.142906694364925
0.0007019193,-16 -6 0,2.0973193984081093
4.916996e-06,-16 -5 -1,2.0611983869751658
0.00014367311,-16 -4 -2,2.035047786992783
1.0595117e-05,-16 -3 -3,2.0192550045906903
0.00029075076,-16 -2 -4,2.014063709302662
4.949262e-06,-16 1 -8,2.088219340735828
1.5820699e-06,-16 2 -9,2.1275689527336152
1.2515921e-05,-16 3 -10,2.176127260891232
1.9995405e-06,-16 4 -11,2.2332936743511964
1.4719886e-06,-16 5 -12,2.2984259808715364
2.8774208e-05,-15 -10 5,2.2417245745211476
8.406902e-06,-15 -5 -1,1.9437770041055926
9.6303746e-05,-15 -4 -2,1.9160245397716007
6.986174e-05,-15 -3 -3,1.8992423767569426
1.7346425e-05,-15 -2 -4,1.8937221939019657
0.00016340533,-15 -1 -5,1.8995621766684858
1.0905473e-05,-15 0 -6,1.9166584859403835
0.00015379534,-15 1 -7,1.9447142756122755
5.566988e-06,-15 2 -8,1.983264492990836
3.9208888e-05,-15 3 -9,2.0317118540509984
3.9904207e-06,-15 4 -10,2.08936800013057
5.819147e-06,-15 5 -11,2.155494095420589
3.862405e-06,-15 6 -12,2.229336565923043
0.0001459149,-14 -9 4,2.0611550913797005
4.020993e-05,-14 -8 3,1.9885707969374389
5.332338e-05,-14 -7 2,1.9244630138013732
0.00036219577,-14 -2 -4,1.7737685864522903
6.2646046e-05,-14 -1 -5,1.7800022483355633
0.00030125224,-14 0 -6,1.7982356862267779
6.9137845e-05,-14 1 -7,1.828109880642968
0.0006663823,-14 2 -8,1.8690667354416564
0.00017393925,-14 3 -9,1.9203972924136665
0.00020367927,-14 4 -10,1.9812954431962129
1.0374075e-05,-14 5 -11,2.050909086014186
0.0002499937,-14 6 -12,2.1283832122778388
1.15675375e-05,-14 7 -13,2.212892381220074
2.3886441e-05,-13 -12 8,2.2555824717867763
0.00022104701,-13 -7 2,1.8149289802134105
3.720601e-05,-13 -6 1,1.7567589886102033
0.0051701884,-13 -5 0,1.709247687800725
3.9825718e-05,-13 -4 -1,1.67330324382242
0.0003930365,-13 -3 -2,1.6496819107531813
1.86422e-05,-13 -2 -3,1.6389166058378404
8.9738896e-05,-13 3 -9,1.8106182898638084
4.211758e-06,-13 4 -10,1.875085265941723
2.9854247e-05,-13 5 -11,1.9484972391202582
3.605564e-05,-13 6 -12,2.0298839376949416
6.4194996e-06,-13 7 -13,2.118326387389276
1.6659953e-05,-13 8 -14,2.2129787933580856
0.001294873,-12 -10 6,1.9687874402825842
0.000112192625,-12 -4 -1,1.5558579809555406
5.8119087e-05,-12 -3 -2,1.5304251070290074
4.3876367e-05,-12 -2 -3,1.518814844835134
0.000121923076,-12 -1 -4,1.5213436925637553
2.9654693e-05,-12 0 -5,1.537941904709212
0.00032789132,-12 1 -6,1.5681627935143734
3.223253e-05,-12 2 -7,1.6112400085059129
3.4530884e-05,-12 3 -8,1.66617668823045
0.00019746121,-12 4 -9,1.7318446007480504
7.912108e-05,-12 5 -10,1.807074226262686
7.4829586e-05,-12 6 -11,1.8907245623439501
4.8395636e-05,-12 7 -12,1.98172956162633
9.40627e-06,-12 8 -13,2.079123688851093
3.3226916e-05,-12 9 -14,2.182051590821123
1.5319456e-06,-12 10 -15,2.289767138774888
0.0004883197,-11 -8 4,1.6933101506242494
0.00054203736,-11 -7 3,1.613065009825547
0.0027310236,-11 -6 2,1.5426434322243725
0.0022370932,-11 1 -6,1.4526618458370624
0.0008780543,-11 2 -7,1.4990618889292513
0.0009518134,-11 3 -8,1.5579593154747833
0.00016336967,-11 4 -9,1.6279983058511764
0.0011837686,-11 5 -10,1.7078086287342251
0.000114247094,-11 6 -11,1.7960881699540738
0.00025800447,-11 7 -12,1.8916515771843398
5.7462923e-05,-11 8 -13,1.9934515890846594
0.00014869632,-11 9 -14,2.1005816718065105
1.0796566e-05,-11 10 -15,2.2122676273859456
0.00023216744,-10 -5 1,1.3718742753832949
0.00995443,-10 -4 0,1.321359337066287
4.182758e-05,-10 -3 -1,1.2857031310497773
0.00097503676,-10 -2 -2,1.2661615845046286
0.00023007498,-10 -1 -3,1.2634826268312789
0.017248735,-10 0 -4,1.2777723239602556
3.6932931e-06,-10 9 -13,1.9744877271278258
0.00027004664,-10 10 -14,2.089454780942626
9.438224e-07,-10 11 -15,2.208196402491118
0.006631285,-9 -9 6,1.627413533396925
0.00040494525,-9 -1 -3,1.1437479181186494
0.00024610636,-9 0 -4,1.1595142751243432
0.0011421369,-9 1 -5,1.193263584284145
0.00010276165,-9 2 -6,1.2435325417074075
