Intensity,HKL,G-vector Length
0.001511689,-18 -4 -3,2.2823515326377994
0.0011786134,-18 -3 -4,2.2714675222281278
0.00024038651,-18 -2 -5,2.270042172270241
6.588212e-05,-18 -1 -6,2.2780932370249305
0.00031070088,-18 0 -7,2.29552100896881
0.00058323116,-17 -7 1,2.2566921718476918
0.00045798084,-17 -4 -3,2.1629099423703244
0.00048099054,-17 -3 -4,2.1514218310804463
0.004013531,-17 -2 -5,2.1499169623591996
0.0009590798,-17 -1 -6,2.1584162175482287
0.00092989847,-17 0 -7,2.1768024174590863
0.00063143513,-17 1 -8,2.204828232421149
0.00016374984,-17 2 -9,2.2421322168088444
0.0008602366,-17 3 -10,2.2882606482147185
0.0014502365,-16 -8 2,2.197371183008049
0.00076076505,-16 -7 1,2.142906694364925
0.0046277046,-16 -6 0,2.0973193984081093
0.0019549895,-16 -5 -1,2.0611983869751658
0.00079058524,-16 -4 -2,2.035047786992783
0.0022719856,-16 -3 -3,2.0192550045906903
0.006889627,-16 -2 -4,2.014063709302662
8.8200315e-05,-16 1 -8,2.088219340735828
0.000276708,-16 2 -9,2.1275689527336152
0.0049113864,-16 3 -10,2.176127260891232
0.00040434644,-16 4 -11,2.2332936743511964
0.00038500514,-16 5 -12,2.2984259808715364
0.002272963,-15 -10 5,2.2417245745211476
0.00032466114,-15 -5 -1,1.9437770041055926
0.007991225,-15 -4 -2,1.9160245397716007
0.005852606,-15 -3 -3,1.8992423767569426
0.0015573774,-15 -2 -4,1.8937221939019657
0.002008306,-15 -1 -5,1.8995621766684858
0.00029368314,-15 0 -6,1.9166584859403835
0.0011969609,-15 1 -7,1.9447142756122755
0.0007671512,-15 2 -8,1.983264492990836
0.00040343034,-15 3 -9,2.0317118540509984
0.0028023575,-15 4 -10,2.08936800013057
0.00015270023,-15 5 -11,2.155494095420589
0.002275693,-15 6 -12,2.229336565923043
0.0024314916,-14 -9 4,2.0611550913797005
0.0045411987,-14 -8 3,1.9885707969374389
0.01652915,-14 -7 2,1.9244630138013732
0.0036379478,-14 -2 -4,1.7737685864522903
0.00059511344,-14 -1 -5,1.7800022483355633
0.009204407,-14 0 -6,1.7982356862267779
0.0025085874,-14 1 -7,1.828109880642968
0.008170394,-14 2 -8,1.8690667354416564
0.0013841523,-14 3 -9,1.9203972924136665
0.0028681715,-14 4 -10,1.9812954431962129
0.00078660354,-14 5 -11,2.050909086014186
0.019817777,-14 6 -12,2.1283832122778388
0.0006033216,-14 7 -13,2.212892381220074
0.0027663838,-13 -12 8,2.2555824717867763
0.010895472,-13 -7 2,1.8149289802134105
0.0032592092,-13 -6 1,1.7567589886102033
0.044900853,-13 -5 0,1.709247687800725
0.0110083725,-13 -4 -1,1.67330324382242
0.0014155193,-13 -3 -2,1.6496819107531813
0.0032582665,-13 -2 -3,1.6389166058378404
0.00044988212,-13 3 -9,1.8106182898638084
0.00028378793,-13 4 -10,1.875085265941723
0.00078226515,-13 5 -11,1.9484972391202582
0.0009766824,-13 6 -12,2.0298839376949416
0.00041944796,-13 7 -13,2.118326387389276
0.0003227012,-13 8 -14,2.2129787933580856
0.019928604,-12 -10 6,1.9687874402825842
0.0032604334,-12 -4 -1,1.5558579809555406
0.004259656,-12 -3 -2,1.5304251070290074
0.0008757509,-12 -2 -3,1.518814844835134
0.0040768944,-12 -1 -4,1.5213436925637553
0.0019782637,-12 0 -5,1.537941904709212
0.007568079,-12 1 -6,1.5681627935143734
0.0012808308,-12 2 -7,1.6112400085059129
0.0006070331,-12 3 -8,1.66617668823045
0.003862837,-12 4 -9,1.7318446007480504
0.001034136,-12 5 -10,1.807074226262686
0.00239942,-12 6 -11,1.8907245623439501
0.0006447752,-12 7 -12,1.98172956162633
0.00037292484,-12 8 -13,2.079123688851093
0.00032927355,-12 9 -14,2.182051590821123
0.00016524557,-12 10 -15,2.289767138774888
0.0037742287,-11 -8 4,1.6933101506242494
0.011213969,-11 -7 3,1.613065009825547
0.022308681,-11 -6 2,1.5426434322243725
0.006184756,-11 1 -6,1.4526618458370624
0.029393952,-11 2 -7,1.4990618889292513
0.004544869,-11 3 -8,1.5579593154747833
0.0020544168,-11 4 -9,1.6279983058511764
0.010929408,-11 5 -10,1.7078086287342251
0.013995128,-11 6 -11,1.7960881699540738
0.003073289,-11 7 -12,1.8916515771843398
0.006740032,-11 8 -13,1.9934515890846594
0.0012474705,-11 9 -14,2.1005816718065105
0.021600261,-11 10 -15,2.2122676273859456
0.0052793524,-10 -5 1,1.3718742753832949
0.07201236,-10 -4 0,1.321359337066287
0.004961413,-10 -3 -1,1.2857031310497773
0.03651981,-10 -2 -2,1.2661615845046286
0.021702936,-10 -1 -3,1.2634826268312789
0.27497107,-10 0 -4,1.2777723239602556
0.00012023478,-10 9 -13,1.9744877271278258
0.0056677735,-10 10 -14,2.089454780942626
0.0009798049,-10 11 -15,2.208196402491118
0.056214944,-9 -9 6,1.627413533396925
0.0046155797,-9 -1 -3,1.1437479181186494
0.040001694,-9 0 -4,1.1595142751243432
0.025383094,-9 1 -5,1.193263584284145
0.022109311,-9 2 -6,1.2435325417074075
0.0072069857,-9 3 -7,1.3084184943423307
0.0047881873,-9 4 -8,1.3858698725832614
0.040929977,-9 5 -9,1.4739071288503782
0.012222718,-9 6 -10,1.5707513229544363
0.0042341896,-9 7 -11,1.674875453875716
0.0076198224,-9 8 -12,1.7850060018870484
0.015436347,-9 9 -13,1.9000988502957712
0.0014455714,-9 10 -14,2.0193056797728683
0.00049873017,-9 11 -15,2.1419397258503206
0.00021821621,-9 12 -16,2.2674449769142475
0.0277452,-8 -6 3,1.245482829067325
0.03887936,-8 -5 2,1.1651710031439524
