tilt_index,tilt_angle,intensity,h,k,l,thickness
30,0.025423728813559476,1.6341008546305602e-08,-17,-7,-1,2133.898193359375
31,0.07627118644067798,1.2128894866236806e-07,-17,-7,-1,2133.898193359375
32,0.12711864406779672,6.752292165401741e-07,-17,-7,-1,2133.898193359375
33,0.17796610169491545,1.076436504376943e-07,-17,-7,-1,2133.898193359375
34,0.22881355932203395,3.690757921503973e-09,-17,-7,-1,2133.898193359375
35,0.2796610169491527,3.821431562300859e-07,-17,-7,-1,2133.898193359375
36,0.3305084745762712,6.330302948498456e-09,-17,-7,-1,2133.898193359375
37,0.3813559322033899,1.4815499298492796e-06,-17,-7,-1,2133.898193359375
38,0.43220338983050866,3.113136699539609e-07,-17,-7,-1,2133.898193359375
39,0.48305084745762716,3.08296034745581e-06,-17,-7,-1,2133.898193359375
40,0.5338983050847457,3.2008509151637554e-05,-17,-7,-1,2133.898193359375
41,0.5847457627118646,1.3858783859177493e-05,-17,-7,-1,2133.898193359375
42,0.6355932203389831,1.3372018656809814e-05,-17,-7,-1,2133.898193359375
43,0.6864406779661016,5.291988145472715e-06,-17,-7,-1,2133.898193359375
44,0.7372881355932206,2.4133848341989506e-07,-17,-7,-1,2133.898193359375
45,0.7881355932203391,5.285182851366699e-07,-17,-7,-1,2133.898193359375
46,0.8389830508474576,2.1219392465354758e-08,-17,-7,-1,2133.898193359375
47,0.8898305084745766,7.876228664827067e-07,-17,-7,-1,2133.898193359375
48,0.9406779661016951,1.3889786032450502e-07,-17,-7,-1,2133.898193359375
49,0.9915254237288136,6.68455015784275e-07,-17,-7,-1,2133.898193359375
50,1.0423728813559325,2.4435939849354327e-07,-17,-7,-1,2133.898193359375
51,1.093220338983051,2.485726611212158e-07,-17,-7,-1,2133.898193359375
52,1.1440677966101696,2.8446597966080844e-08,-17,-7,-1,2133.898193359375
53,1.1949152542372885,5.6590415908885916e-08,-17,-7,-1,2133.898193359375
54,1.245762711864407,1.1522667264785014e-08,-17,-7,-1,2133.898193359375
55,1.2966101694915255,8.656221694991473e-08,-17,-7,-1,2133.898193359375
56,1.3474576271186445,2.7284050574394314e-09,-17,-7,-1,2133.898193359375
57,1.398305084745763,3.1002628020360135e-08,-17,-7,-1,2133.898193359375
58,1.4491525423728815,0.0,-17,-7,-1,2133.898193359375
59,1.5,0.0,-17,-7,-1,2133.898193359375
0,-1.5,0.0,-17,-6,-2,2133.898193359375
1,-1.4491525423728813,0.0,-17,-6,-2,2133.898193359375
2,-1.3983050847457628,0.0,-17,-6,-2,2133.898193359375
3,-1.347457627118644,0.0,-17,-6,-2,2133.898193359375
4,-1.2966101694915255,0.0,-17,-6,-2,2133.898193359375
5,-1.2457627118644068,0.0,-17,-6,-2,2133.898193359375
6,-1.194915254237288,0.0,-17,-6,-2,2133.898193359375
7,-1.1440677966101696,0.0,-17,-6,-2,2133.898193359375
8,-1.0932203389830508,0.0,-17,-6,-2,2133.898193359375
9,-1.042372881355932,0.0,-17,-6,-2,2133.898193359375
10,-0.9915254237288136,0.0,-17,-6,-2,2133.898193359375
11,-0.9406779661016949,0.0,-17,-6,-2,2133.898193359375
12,-0.8898305084745762,0.0,-17,-6,-2,2133.898193359375
13,-0.8389830508474576,0.0,-17,-6,-2,2133.898193359375
14,-0.7881355932203389,0.0,-17,-6,-2,2133.898193359375
15,-0.7372881355932203,1.5839309241982846e-07,-17,-6,-2,2133.898193359375
16,-0.6864406779661016,3.008686348948686e-07,-17,-6,-2,2133.898193359375
17,-0.635593220338983,2.272687460447287e-08,-17,-6,-2,2133.898193359375
